onset	duration	trial_type	response_time
2.5440000000000005	0.612	stim1-10	n/a
11.689	0.6	stim2-9	n/a
12.323	0.0	right	0.575
17.987000000000002	0.602	stim1-7	n/a
24.621	0.627	stim2-6	n/a
25.28	0.0	right	0.36
30.942	0.604	stim1-28	n/a
39.578	0.63	stim2-20	n/a
40.24	0.0	error	0.882
40.24	0.0	left	0.882
45.899	0.604	stim1-10	n/a
54.035	0.617	stim2-5	n/a
54.685	0.0	right	0.282
60.337	0.602	stim1-5	n/a
67.47200000000001	0.6	stim2-10	n/a
68.105	0.0	left	0.986
73.781	0.603	stim1-10	n/a
81.416	0.6	stim2-14	n/a
82.049	0.0	left	0.481
87.729	0.632	stim1-5	n/a
97.394	0.621	stim2-3	n/a
98.048	0.0	right	0.307
103.687	0.607	stim1-28	n/a
112.826	0.632	stim2-10	n/a
113.49	0.0	right	0.238
119.129	0.608	stim1-20	n/a
126.77	0.634	stim2-10	n/a
127.437	0.0	right	0.529
133.073	0.618	stim1-5	n/a
141.723	0.614	stim2-2	n/a
142.369	0.0	right	0.281
148.015	0.606	stim1-14	n/a
157.653	0.626	stim2-5	n/a
158.311	0.0	right	0.308
163.959	0.603	stim1-10	n/a
170.595	0.631	stim2-7	n/a
171.259	0.0	right	0.38
176.906	0.624	stim1-7	n/a
184.062	0.628	stim2-14	n/a
184.722	0.0	left	0.403
190.358	0.603	stim1-10	n/a
198.493	0.632	stim2-9	n/a
199.158	0.0	left	0.634
199.158	0.0	error	0.634
204.807	0.606	stim1-28	n/a
212.446	0.62	stim2-56	n/a
213.098	0.0	left	0.2
218.761	0.606	stim1-7	n/a
225.399	0.6	stim2-20	n/a
226.031	0.0	left	0.272
231.693	0.603	stim1-28	n/a
240.828	0.632	stim2-27	n/a
241.494	0.0	error	0.385
241.494	0.0	left	0.385
247.153	0.609	stim1-14	n/a
255.795	0.624	stim2-7	n/a
256.452	0.0	right	0.334
262.091	0.625	stim1-5	n/a
269.24800000000005	0.619	stim2-3	n/a
269.899	0.0	right	0.28
275.521	0.604	stim1-7	n/a
285.15700000000004	0.617	stim2-10	n/a
285.80600000000004	0.0	left	0.607
291.462	0.601	stim1-5	n/a
299.595	0.632	stim2-7	n/a
300.26	0.0	left	0.433
305.904	0.606	stim1-14	n/a
315.043	0.627	stim2-13	n/a
315.703	0.0	error	0.368
315.703	0.0	left	0.368
321.34900000000005	0.607	stim1-14	n/a
329.48800000000006	0.602	stim2-13	n/a
330.124	0.0	right	0.134
335.775	0.604	stim1-20	n/a
344.41100000000006	0.6	stim2-19	n/a
345.045	0.0	right	0.961
350.73	0.603	stim1-14	n/a
357.865	0.601	stim2-13	n/a
358.49800000000005	0.0	right	0.398
364.167	0.601	stim1-28	n/a
373.8	0.626	stim2-10	n/a
374.459	0.0	right	0.306
380.128	0.607	stim1-20	n/a
386.76700000000005	0.6	stim2-57	n/a
387.4	0.0	left	0.29
393.091	0.607	stim1-20	n/a
400.731	0.629	stim2-7	n/a
401.39200000000005	0.0	right	0.174
407.031	0.607	stim1-7	n/a
415.67	0.616	stim2-2	n/a
416.318	0.0	right	0.285
421.96400000000006	0.633	stim1-5	n/a
431.129	0.623	stim2-4	n/a
431.784	0.0	right	0.375
437.418	0.602	stim1-20	n/a
445.553	0.631	stim2-7	n/a
446.216	0.0	right	0.352
451.872	0.604	stim1-14	n/a
459.009	0.629	stim2-5	n/a
459.67	0.0	right	0.287
465.323	0.603	stim1-7	n/a
474.958	0.62	stim2-4	n/a
475.61	0.0	right	0.318
481.289	0.602	stim1-10	n/a
487.923	0.63	stim2-20	n/a
488.586	0.0	left	0.271
494.25700000000006	0.603	stim1-28	n/a
501.893	0.633	stim2-20	n/a
502.558	0.0	right	0.449
508.2180000000001	0.605	stim1-20	n/a
517.356	0.6	stim2-28	n/a
517.988	0.0	left	0.347
