onset	duration	trial_type	response_time
2.541999999999998	0.617	stim1-20	n/a
11.191	0.624	stim2-7	n/a
11.846999999999998	0.0	right	0.239
17.502000000000002	0.62	stim1-5	n/a
25.654	0.623	stim2-7	n/a
26.31	0.0	left	0.937
31.941000000000003	0.63	stim1-10	n/a
38.603	0.602	stim2-14	n/a
39.237	0.0	left	0.982
44.898	0.604	stim1-14	n/a
54.535	0.618	stim2-5	n/a
55.185	0.0	right	0.193
60.843	0.609	stim1-28	n/a
69.98499999999999	0.616	stim2-56	n/a
70.63300000000001	0.0	left	0.453
76.298	0.605	stim1-28	n/a
83.435	0.601	stim2-20	n/a
84.06800000000001	0.0	right	0.365
89.743	0.601	stim1-10	n/a
97.376	0.631	stim2-11	n/a
98.04	0.0	right	1.077
98.04	0.0	error	1.077
103.675	0.619	stim1-5	n/a
111.826	0.6	stim2-14	n/a
112.46	0.0	left	0.659
118.133	0.617	stim1-7	n/a
125.782	0.615	stim2-2	n/a
126.43	0.0	right	0.608
132.08700000000002	0.623	stim1-7	n/a
140.74200000000002	0.619	stim2-8	n/a
141.393	0.0	left	1.873
147.047	0.606	stim1-28	n/a
154.186	0.632	stim2-10	n/a
154.851	0.0	right	0.207
160.493	0.618	stim1-5	n/a
170.143	0.633	stim2-14	n/a
170.809	0.0	left	0.323
176.434	0.608	stim1-28	n/a
183.074	0.601	stim2-56	n/a
183.708	0.0	left	0.366
189.384	0.606	stim1-20	n/a
198.523	0.601	stim2-40	n/a
199.156	0.0	left	0.361
204.814	0.603	stim1-14	n/a
212.95	0.601	stim2-40	n/a
213.583	0.0	left	0.105
219.248	0.602	stim1-10	n/a
228.382	0.621	stim2-7	n/a
229.036	0.0	right	0.79
234.712	0.605	stim1-14	n/a
244.35	0.601	stim2-28	n/a
244.98300000000003	0.0	left	0.753
250.64900000000003	0.619	stim1-14	n/a
257.301	0.6	stim2-20	n/a
257.933	0.0	error	0.853
257.933	0.0	right	0.853
263.602	0.605	stim1-10	n/a
272.239	0.618	stim2-7	n/a
272.89	0.0	right	0.315
278.566	0.605	stim1-20	n/a
286.203	0.617	stim2-57	n/a
286.852	0.0	left	0.148
292.495	0.6	stim1-10	n/a
299.62699999999995	0.63	stim2-11	n/a
300.29	0.0	left	1.232
305.943	0.604	stim1-14	n/a
313.08	0.633	stim2-20	n/a
313.746	0.0	left	0.468
319.386	0.607	stim1-20	n/a
326.025	0.6	stim2-28	n/a
326.657	0.0	left	1.072
332.35	0.618	stim1-5	n/a
340.0	0.617	stim2-3	n/a
340.65	0.0	right	0.336
346.29299999999995	0.627	stim1-7	n/a
355.452	0.616	stim2-14	n/a
356.1	0.0	left	0.6
361.732	0.605	stim1-20	n/a
369.87	0.618	stim2-57	n/a
370.52	0.0	left	0.376
376.164	0.624	stim1-7	n/a
384.82	0.617	stim2-2	n/a
385.47	0.0	right	0.388
391.127	0.605	stim1-28	n/a
400.764	0.63	stim2-29	n/a
401.427	0.0	left	1.412
407.075	0.621	stim1-5	n/a
414.228	0.616	stim2-4	n/a
414.877	0.0	right	0.922
420.517	0.621	stim1-7	n/a
427.171	0.6	stim2-20	n/a
427.803	0.0	left	0.517
433.448	0.606	stim1-28	n/a
443.086	0.617	stim2-79	n/a
443.735	0.0	left	0.268
449.406	0.603	stim1-20	n/a
458.042	0.628	stim2-10	n/a
458.702	0.0	right	0.447
464.349	0.632	stim1-10	n/a
472.514	0.62	stim2-7	n/a
473.166	0.0	right	0.983
478.803	0.62	stim1-5	n/a
486.455	0.615	stim2-3	n/a
487.102	0.0	right	0.38
492.758	0.603	stim1-14	n/a
501.894	0.617	stim2-5	n/a
502.543	0.0	right	0.601
508.185	0.621	stim1-7	n/a
517.3380000000001	0.629	stim2-10	n/a
518.0	0.0	left	0.625
