onset	duration	trial_type	response_time
2.5420000000000016	0.6	stim1-5	n/a
9.174999999999995	0.625	stim2-4	n/a
9.833999999999996	0.0	right	0.351
15.497999999999998	0.603	stim1-28	n/a
23.135	0.602	stim2-20	n/a
23.77	0.0	right	0.253
29.451	0.608	stim1-20	n/a
38.092	0.602	stim2-14	n/a
38.727	0.0	right	0.413
44.416	0.607	stim1-10	n/a
52.556	0.631	stim2-5	n/a
53.22	0.0	right	0.317
58.869	0.607	stim1-7	n/a
66.008	0.619	stim2-2	n/a
66.659	0.0	right	0.286
72.312	0.629	stim1-5	n/a
81.973	0.6	stim2-14	n/a
82.605	0.0	left	0.135
88.274	0.608	stim1-20	n/a
97.414	0.6	stim2-10	n/a
98.046	0.0	right	0.27
103.727	0.623	stim1-10	n/a
110.882	0.615	stim2-7	n/a
111.529	0.0	right	0.165
117.159	0.607	stim1-10	n/a
125.298	0.601	stim2-14	n/a
125.932	0.0	left	0.482
131.62	0.607	stim1-28	n/a
139.26	0.601	stim2-40	n/a
139.893	0.0	left	0.627
145.571	0.607	stim1-14	n/a
154.21	0.632	stim2-5	n/a
154.874	0.0	right	0.147
160.522	0.604	stim1-14	n/a
169.66	0.632	stim2-15	n/a
170.326	0.0	left	0.216
175.973	0.608	stim1-20	n/a
185.614	0.618	stim2-40	n/a
186.264	0.0	left	0.831
191.916	0.606	stim1-14	n/a
198.555	0.617	stim2-40	n/a
199.204	0.0	left	0.231
204.872	0.601	stim1-5	n/a
213.506	0.628	stim2-6	n/a
214.166	0.0	left	0.774
219.817	0.605	stim1-7	n/a
228.954	0.63	stim2-4	n/a
229.616	0.0	right	0.229
235.278	0.632	stim1-5	n/a
241.943	0.601	stim2-14	n/a
242.576	0.0	left	0.236
248.226	0.603	stim1-7	n/a
255.362	0.602	stim2-10	n/a
255.997	0.0	left	0.388
261.689	0.631	stim1-5	n/a
271.353	0.6	stim2-6	n/a
271.986	0.0	left	0.821
277.631	0.603	stim1-10	n/a
285.768	0.633	stim2-11	n/a
286.433	0.0	left	0.517
292.097	0.604	stim1-14	n/a
299.733	0.633	stim2-20	n/a
300.399	0.0	left	0.217
306.047	0.606	stim1-20	n/a
312.686	0.6	stim2-28	n/a
313.319	0.0	left	0.293
319.007	0.602	stim1-7	n/a
328.142	0.628	stim2-8	n/a
328.803	0.0	left	0.915
334.472	0.607	stim1-10	n/a
342.111	0.601	stim2-11	n/a
342.744	0.0	left	0.762
348.42	0.603	stim1-5	n/a
355.556	0.623	stim2-3	n/a
356.212	0.0	right	0.316
361.86	0.605	stim1-28	n/a
371.498	0.605	stim2-40	n/a
372.136	0.0	right	0.804
372.136	0.0	error	0.804
377.824	0.607	stim1-20	n/a
386.464	0.627	stim2-10	n/a
387.124	0.0	right	0.358
392.79	0.604	stim1-20	n/a
400.927	0.6	stim2-28	n/a
401.56	0.0	left	0.236
407.233	0.603	stim1-10	n/a
416.37	0.622	stim2-5	n/a
417.024	0.0	right	0.329
422.696	0.608	stim1-7	n/a
430.336	0.625	stim2-14	n/a
430.993	0.0	left	0.408
436.638	0.606	stim1-7	n/a
443.776	0.632	stim2-5	n/a
444.44	0.0	right	0.59
450.079	0.61	stim1-28	n/a
458.221	0.601	stim2-14	n/a
458.854	0.0	right	0.146
464.524	0.606	stim1-14	n/a
473.162	0.633	stim2-5	n/a
473.827	0.0	left	0.308
473.827	0.0	error	0.308
479.474	0.606	stim1-14	n/a
489.113	0.602	stim2-20	n/a
489.748	0.0	left	0.621
495.417	0.606	stim1-28	n/a
502.055	0.615	stim2-79	n/a
502.703	0.0	left	0.319
508.387	0.609	stim1-28	n/a
515.529	0.632	stim2-10	n/a
516.193	0.0	right	0.293
