onset	duration	trial_type	response_time
2.5279999999999987	0.609	stim1-28	n/a
11.168999999999995	0.601	stim2-56	n/a
11.802	0.0	left	0.184
17.488999999999997	0.608	stim1-14	n/a
27.129	0.617	stim2-13	n/a
27.778	0.0	right	0.228
33.437999999999995	0.626	stim1-7	n/a
41.596	0.6	stim2-20	n/a
42.22899999999999	0.0	left	0.317
47.86899999999999	0.628	stim1-5	n/a
54.529	0.616	stim2-4	n/a
55.177	0.0	right	0.479
60.834	0.605	stim1-10	n/a
68.47200000000001	0.601	stim2-20	n/a
69.10499999999999	0.0	left	0.188
74.78999999999999	0.605	stim1-20	n/a
81.92699999999999	0.618	stim2-57	n/a
82.577	0.0	left	0.496
88.249	0.605	stim1-10	n/a
97.385	0.601	stim2-20	n/a
98.018	0.0	left	0.602
103.704	0.623	stim1-7	n/a
112.359	0.618	stim2-14	n/a
113.01	0.0	left	0.31
118.661	0.606	stim1-14	n/a
126.799	0.6	stim2-13	n/a
127.431	0.0	right	0.623
133.102	0.604	stim1-20	n/a
142.239	0.615	stim2-10	n/a
142.886	0.0	right	0.225
148.541	0.606	stim1-20	n/a
158.179	0.602	stim2-28	n/a
158.815	0.0	left	0.172
164.489	0.623	stim1-5	n/a
171.644	0.6	stim2-14	n/a
172.278	0.0	left	0.441
177.959	0.603	stim1-28	n/a
184.595	0.6	stim2-27	n/a
185.228	0.0	right	0.562
190.898	0.628	stim1-5	n/a
198.558	0.631	stim2-14	n/a
199.222	0.0	left	0.523
204.857	0.608	stim1-14	n/a
212.497	0.629	stim2-28	n/a
213.158	0.0	left	0.284
218.81	0.625	stim1-7	n/a
225.969	0.615	stim2-2	n/a
226.616	0.0	right	0.105
232.24	0.618	stim1-10	n/a
240.89	0.602	stim2-20	n/a
241.525	0.0	left	0.373
247.198	0.63	stim1-14	n/a
255.361	0.628	stim2-7	n/a
256.022	0.0	right	0.429
261.656	0.631	stim1-7	n/a
270.82	0.616	stim2-4	n/a
271.469	0.0	right	0.384
277.094	0.605	stim1-20	n/a
286.731	0.601	stim2-19	n/a
287.365	0.0	right	0.563
293.038	0.605	stim1-10	n/a
299.675	0.617	stim2-5	n/a
300.324	0.0	right	0.66
306.004	0.609	stim1-28	n/a
313.146	0.6	stim2-20	n/a
313.778	0.0	right	0.443
319.46	0.603	stim1-14	n/a
328.096	0.621	stim2-5	n/a
328.749	0.0	right	0.459
334.414	0.604	stim1-10	n/a
342.552	0.614	stim2-4	n/a
343.199	0.0	right	0.331
348.857	0.622	stim1-5	n/a
358.512	0.62	stim2-4	n/a
359.164	0.0	right	0.737
364.824	0.627	stim1-7	n/a
372.484	0.602	stim2-20	n/a
373.12	0.0	left	0.829
378.763	0.619	stim1-14	n/a
385.414	0.602	stim2-20	n/a
386.048	0.0	left	1.034
391.703	0.606	stim1-10	n/a
400.841	0.602	stim2-20	n/a
401.476	0.0	left	0.693
407.156	0.624	stim1-5	n/a
414.312	0.63	stim2-7	n/a
414.976	0.0	left	0.99
420.584	0.623	stim1-5	n/a
429.739	0.617	stim2-4	n/a
430.388	0.0	right	0.546
436.039	0.603	stim1-28	n/a
442.675	0.602	stim2-40	n/a
443.309	0.0	left	0.781
448.998	0.606	stim1-20	n/a
457.137	0.603	stim2-14	n/a
457.773	0.0	left	0.7
457.773	0.0	error	0.7
463.449	0.604	stim1-20	n/a
472.086	0.6	stim2-10	n/a
472.718	0.0	right	0.567
478.39200000000005	0.607	stim1-28	n/a
488.032	0.616	stim2-56	n/a
488.681	0.0	left	0.559
494.346	0.604	stim1-28	n/a
501.982	0.616	stim2-56	n/a
502.631	0.0	left	0.508
508.314	0.628	stim1-7	n/a
516.475	0.601	stim2-14	n/a
517.108	0.0	left	0.379
