onset	duration	trial_type	response_time
2.5380000000000003	0.611	stim1-20	n/a
11.181000000000004	0.604	stim2-14	n/a
11.817999999999998	0.0	right	0.024
17.487000000000002	0.629	stim1-5	n/a
25.649	0.612	stim2-3	n/a
26.294000000000004	0.0	right	0.208
31.934	0.629	stim1-5	n/a
39.095	0.6	stim2-10	n/a
39.727	0.0	error	0.412
39.727	0.0	right	0.412
45.366	0.604	stim1-28	n/a
53.003	0.619	stim2-56	n/a
53.656000000000006	0.0	left	0.37
59.327	0.628	stim1-7	n/a
68.987	0.602	stim2-14	n/a
69.621	0.0	left	0.238
75.284	0.606	stim1-20	n/a
84.422	0.6	stim2-40	n/a
85.054	0.0	left	0.58
90.741	0.604	stim1-14	n/a
97.378	0.632	stim2-40	n/a
98.042	0.0	left	0.606
103.682	0.615	stim1-7	n/a
110.329	0.6	stim2-8	n/a
110.961	0.0	right	1.291
110.961	0.0	error	1.291
116.646	0.622	stim1-5	n/a
125.3	0.601	stim2-6	n/a
125.934	0.0	left	1.566
131.60700000000003	0.604	stim1-20	n/a
139.74400000000003	0.626	stim2-7	n/a
140.40300000000002	0.0	right	0.145
146.038	0.604	stim1-14	n/a
155.175	0.632	stim2-5	n/a
155.839	0.0	right	0.138
161.498	0.617	stim1-7	n/a
171.14800000000002	0.617	stim2-2	n/a
171.79700000000005	0.0	right	0.566
177.47000000000003	0.605	stim1-14	n/a
185.10700000000003	0.602	stim2-28	n/a
185.742	0.0	left	0.325
191.429	0.604	stim1-28	n/a
198.565	0.602	stim2-56	n/a
199.2	0.0	left	0.588
204.894	0.602	stim1-10	n/a
214.028	0.601	stim2-28	n/a
214.661	0.0	left	0.415
220.346	0.608	stim1-28	n/a
228.486	0.618	stim2-56	n/a
229.137	0.0	left	0.814
234.794	0.607	stim1-14	n/a
243.433	0.628	stim2-7	n/a
244.094	0.0	right	0.552
249.745	0.604	stim1-14	n/a
259.382	0.6	stim2-20	n/a
260.014	0.0	left	0.829
265.694	0.603	stim1-10	n/a
272.83	0.628	stim2-5	n/a
273.491	0.0	right	0.547
279.145	0.602	stim1-7	n/a
285.78	0.615	stim2-14	n/a
286.427	0.0	left	0.768
292.112	0.603	stim1-10	n/a
299.747	0.632	stim2-14	n/a
300.412	0.0	left	0.635
306.054	0.606	stim1-28	n/a
315.692	0.632	stim2-10	n/a
316.356	0.0	left	0.232
316.356	0.0	error	0.232
322.018	0.604	stim1-28	n/a
331.154	0.615	stim2-79	n/a
331.803	0.0	left	0.223
337.49	0.622	stim1-5	n/a
344.145	0.627	stim2-7	n/a
344.805	0.0	left	1.716
350.422	0.604	stim1-20	n/a
357.558	0.601	stim2-14	n/a
358.191	0.0	right	0.703
363.865	0.628	stim1-10	n/a
372.026	0.619	stim2-7	n/a
372.677	0.0	right	0.848
378.298	0.62	stim1-10	n/a
385.95	0.6	stim2-5	n/a
386.583	0.0	right	0.57
392.263	0.604	stim1-20	n/a
400.899	0.616	stim2-57	n/a
401.547	0.0	left	0.188
407.194	0.601	stim1-7	n/a
415.828	0.617	stim2-2	n/a
416.478	0.0	right	0.467
422.143	0.624	stim1-7	n/a
430.299	0.6	stim2-14	n/a
430.931	0.0	left	0.873
436.589	0.603	stim1-14	n/a
443.725	0.616	stim2-7	n/a
444.374	0.0	right	0.439
450.047	0.628	stim1-5	n/a
459.708	0.615	stim2-4	n/a
460.355	0.0	right	0.807
466.018	0.606	stim1-28	n/a
475.157	0.601	stim2-10	n/a
475.791	0.0	right	0.292
481.444	0.626	stim1-5	n/a
489.102	0.62	stim2-3	n/a
489.754	0.0	right	0.744
495.388	0.601	stim1-10	n/a
502.022	0.627	stim2-11	n/a
502.681	0.0	left	1.105
508.338	0.604	stim1-20	n/a
517.974	0.601	stim2-21	n/a
518.6070000000001	0.0	error	1.021
518.6070000000001	0.0	right	1.021
