onset	duration	trial_type	response_time
2.5440000000000005	0.6	stim1-5	n/a
9.175999999999998	0.625	stim2-7	n/a
9.834	0.0	error	0.54
9.834	0.0	right	0.54
15.498	0.605	stim1-20	n/a
24.636	0.6	stim2-10	n/a
25.269	0.0	right	0.663
30.947	0.606	stim1-14	n/a
38.585	0.63	stim2-20	n/a
39.248000000000005	0.0	left	0.724
44.89	0.606	stim1-10	n/a
53.029	0.626	stim2-4	n/a
53.687	0.0	right	1.245
59.32900000000001	0.629	stim1-5	n/a
68.99000000000001	0.62	stim2-4	n/a
69.64200000000001	0.0	right	1.536
75.286	0.604	stim1-20	n/a
83.923	0.633	stim2-10	n/a
84.589	0.0	right	0.708
90.248	0.61	stim1-20	n/a
97.39	0.6	stim2-40	n/a
98.022	0.0	left	0.59
103.68800000000002	0.607	stim1-10	n/a
113.328	0.603	stim2-28	n/a
113.964	0.0	left	0.477
119.65200000000002	0.603	stim1-28	n/a
127.287	0.602	stim2-40	n/a
127.921	0.0	left	0.861
133.598	0.606	stim1-14	n/a
142.736	0.622	stim2-7	n/a
143.39	0.0	right	0.562
149.066	0.631	stim1-7	n/a
155.73	0.618	stim2-5	n/a
156.38	0.0	right	0.302
162.01	0.607	stim1-28	n/a
169.149	0.628	stim2-79	n/a
169.809	0.0	left	0.393
175.439	0.606	stim1-10	n/a
183.578	0.62	stim2-9	n/a
184.231	0.0	left	0.742
184.231	0.0	error	0.742
189.894	0.607	stim1-10	n/a
198.533	0.633	stim2-14	n/a
199.198	0.0	left	0.759
204.846	0.606	stim1-14	n/a
212.485	0.626	stim2-7	n/a
213.144	0.0	right	0.421
218.812	0.605	stim1-28	n/a
225.949	0.601	stim2-14	n/a
226.582	0.0	right	0.765
232.256	0.605	stim1-14	n/a
240.893	0.619	stim2-5	n/a
241.544	0.0	right	0.57
247.194	0.606	stim1-28	n/a
255.333	0.628	stim2-40	n/a
255.993	0.0	left	0.752
261.62699999999995	0.605	stim1-20	n/a
270.765	0.62	stim2-10	n/a
271.417	0.0	right	0.452
277.074	0.608	stim1-14	n/a
283.714	0.63	stim2-10	n/a
284.37699999999995	0.0	error	1.135
284.37699999999995	0.0	left	1.135
290.046	0.603	stim1-7	n/a
299.683	0.614	stim2-4	n/a
300.32899999999995	0.0	right	0.452
305.982	0.603	stim1-7	n/a
312.618	0.601	stim2-20	n/a
313.251	0.0	left	0.404
318.932	0.605	stim1-20	n/a
328.569	0.603	stim2-57	n/a
329.20399999999995	0.0	left	0.348
334.888	0.625	stim1-5	n/a
343.046	0.634	stim2-14	n/a
343.713	0.0	left	0.505
349.333	0.618	stim1-5	n/a
357.98299999999995	0.626	stim2-7	n/a
358.641	0.0	left	0.409
364.296	0.608	stim1-28	n/a
371.437	0.632	stim2-14	n/a
372.101	0.0	right	0.582
377.731	0.606	stim1-14	n/a
386.87	0.627	stim2-28	n/a
387.531	0.0	left	0.627
393.175	0.604	stim1-20	n/a
400.812	0.602	stim2-40	n/a
401.446	0.0	left	0.398
407.115	0.608	stim1-28	n/a
414.256	0.6	stim2-10	n/a
414.889	0.0	right	0.571
420.573	0.605	stim1-7	n/a
429.711	0.6	stim2-20	n/a
430.344	0.0	left	0.666
436.025	0.605	stim1-7	n/a
445.662	0.632	stim2-20	n/a
446.327	0.0	left	0.377
451.972	0.604	stim1-10	n/a
460.608	0.633	stim2-20	n/a
461.274	0.0	left	0.339
466.925	0.62	stim1-5	n/a
475.077	0.616	stim2-2	n/a
475.726	0.0	right	0.464
481.367	0.63	stim1-10	n/a
489.03	0.603	stim2-20	n/a
489.667	0.0	left	0.287
495.319	0.602	stim1-7	n/a
501.953	0.603	stim2-14	n/a
502.589	0.0	left	0.457
508.283	0.624	stim1-5	n/a
517.44	0.631	stim2-10	n/a
518.104	0.0	left	0.681
