onset	duration	trial_type	response_time
2.5400000000000027	0.607	stim1-5	n/a
11.680000000000003	0.62	stim2-3	n/a
12.333000000000002	0.0	right	0.46
17.983	0.607	stim1-28	n/a
24.623	0.6	stim2-27	n/a
25.256000000000004	0.0	right	0.6
30.941	0.603	stim1-10	n/a
38.577	0.6	stim2-9	n/a
39.21000000000001	0.0	right	0.279
44.886	0.606	stim1-28	n/a
54.52600000000001	0.615	stim2-56	n/a
55.173	0.0	left	0.407
60.848	0.604	stim1-20	n/a
67.98400000000001	0.62	stim2-7	n/a
68.63600000000001	0.0	right	0.561
74.307	0.609	stim1-14	n/a
82.44800000000001	0.63	stim2-10	n/a
83.111	0.0	error	1.23
83.111	0.0	left	1.23
88.759	0.617	stim1-5	n/a
97.408	0.601	stim2-7	n/a
98.043	0.0	left	0.84
103.728	0.617	stim1-7	n/a
110.878	0.632	stim2-20	n/a
111.54200000000002	0.0	left	0.696
117.19	0.604	stim1-20	n/a
123.826	0.602	stim2-7	n/a
124.461	0.0	right	0.419
130.152	0.604	stim1-28	n/a
139.789	0.602	stim2-14	n/a
140.42399999999998	0.0	right	0.551
146.084	0.607	stim1-20	n/a
154.224	0.602	stim2-28	n/a
154.85899999999998	0.0	left	0.285
160.542	0.604	stim1-14	n/a
169.178	0.626	stim2-5	n/a
169.83599999999998	0.0	right	0.755
175.503	0.606	stim1-7	n/a
183.141	0.617	stim2-4	n/a
183.791	0.0	right	0.456
189.448	0.602	stim1-14	n/a
198.583	0.601	stim2-40	n/a
199.216	0.0	left	0.46
204.905	0.608	stim1-28	n/a
211.545	0.632	stim2-10	n/a
212.21	0.0	right	0.388
217.863	0.621	stim1-5	n/a
225.017	0.624	stim2-14	n/a
225.674	0.0	left	0.253
231.321	0.605	stim1-14	n/a
238.959	0.633	stim2-40	n/a
239.625	0.0	left	0.433
245.262	0.601	stim1-5	n/a
253.395	0.611	stim2-3	n/a
254.039	0.0	right	0.604
259.715	0.628	stim1-5	n/a
268.875	0.615	stim2-2	n/a
269.523	0.0	right	2.191
275.17	0.601	stim1-10	n/a
284.803	0.632	stim2-14	n/a
285.467	0.0	left	0.57
291.108	0.603	stim1-7	n/a
299.744	0.632	stim2-14	n/a
300.408	0.0	left	0.208
306.045	0.629	stim1-10	n/a
314.206	0.619	stim2-4	n/a
314.857	0.0	right	0.303
320.488	0.63	stim1-5	n/a
329.65	0.633	stim2-14	n/a
330.316	0.0	left	0.368
335.952	0.603	stim1-10	n/a
345.587	0.63	stim2-5	n/a
346.25	0.0	right	0.865
351.902	0.604	stim1-14	n/a
359.038	0.632	stim2-28	n/a
359.704	0.0	left	0.22
365.367	0.623	stim1-10	n/a
373.023	0.603	stim2-20	n/a
373.659	0.0	left	0.3
379.323	0.605	stim1-20	n/a
385.96	0.634	stim2-14	n/a
386.626	0.0	right	0.253
392.27	0.633	stim1-10	n/a
400.936	0.601	stim2-28	n/a
401.57	0.0	left	1.942
407.229	0.604	stim1-7	n/a
416.366	0.603	stim2-20	n/a
417.002	0.0	left	0.816
422.658	0.606	stim1-28	n/a
430.297	0.632	stim2-10	n/a
430.962	0.0	right	0.359
436.628	0.603	stim1-7	n/a
443.263	0.616	stim2-2	n/a
443.911	0.0	right	0.655
449.568	0.601	stim1-7	n/a
459.201	0.624	stim2-4	n/a
459.857	0.0	right	0.333
465.521	0.603	stim1-14	n/a
473.657	0.604	stim2-40	n/a
474.294	0.0	left	0.283
479.974	0.604	stim1-28	n/a
488.611	0.617	stim2-56	n/a
489.26	0.0	left	0.633
494.933	0.604	stim1-20	n/a
502.068	0.633	stim2-7	n/a
502.732	0.0	right	0.206
508.393	0.607	stim1-20	n/a
515.032	0.6	stim2-19	n/a
515.665	0.0	error	0.964
515.665	0.0	left	0.964
