onset	duration	trial_type	response_time
2.5410000000000004	0.613	stim1-20	n/a
12.186	0.614	stim2-57	n/a
12.834	0.0	left	0.346
18.491	0.618	stim1-5	n/a
27.142000000000003	0.6	stim2-14	n/a
27.775	0.0	left	0.45
33.464	0.605	stim1-14	n/a
42.602	0.62	stim2-5	n/a
43.254	0.0	right	0.413
48.904	0.604	stim1-20	n/a
56.041	0.603	stim2-21	n/a
56.676	0.0	right	0.442
56.676	0.0	error	0.442
62.361	0.606	stim1-28	n/a
70.499	0.601	stim2-29	n/a
71.13300000000001	0.0	left	0.461
76.798	0.617	stim1-10	n/a
84.44800000000001	0.628	stim2-28	n/a
85.108	0.0	left	0.508
90.752	0.61	stim1-28	n/a
97.395	0.617	stim2-79	n/a
98.045	0.0	left	0.3
103.704	0.603	stim1-28	n/a
110.84	0.632	stim2-14	n/a
111.504	0.0	right	0.208
117.17	0.607	stim1-14	n/a
126.309	0.633	stim2-15	n/a
126.974	0.0	right	0.469
126.974	0.0	error	0.469
132.60899999999998	0.606	stim1-7	n/a
140.248	0.601	stim2-10	n/a
140.88299999999998	0.0	error	0.634
140.88299999999998	0.0	right	0.634
146.56	0.605	stim1-14	n/a
153.19799999999998	0.603	stim2-20	n/a
153.834	0.0	left	0.702
159.506	0.607	stim1-10	n/a
169.14499999999998	0.631	stim2-20	n/a
169.808	0.0	left	0.24
175.445	0.604	stim1-7	n/a
183.581	0.631	stim2-14	n/a
184.245	0.0	right	0.518
184.245	0.0	error	0.518
189.906	0.606	stim1-10	n/a
198.544	0.616	stim2-4	n/a
199.193	0.0	right	0.231
204.857	0.608	stim1-28	n/a
214.497	0.603	stim2-40	n/a
215.133	0.0	left	0.291
220.821	0.603	stim1-14	n/a
228.957	0.625	stim2-7	n/a
229.614	0.0	right	0.25
235.264	0.631	stim1-5	n/a
241.927	0.614	stim2-3	n/a
242.574	0.0	right	0.349
248.212	0.604	stim1-7	n/a
257.348	0.632	stim2-14	n/a
258.013	0.0	left	0.422
263.636	0.603	stim1-7	n/a
270.771	0.63	stim2-8	n/a
271.434	0.0	right	0.743
271.434	0.0	error	0.743
277.099	0.6	stim1-7	n/a
284.731	0.616	stim2-4	n/a
285.379	0.0	right	0.233
291.046	0.608	stim1-20	n/a
299.686	0.601	stim2-14	n/a
300.319	0.0	error	0.356
300.319	0.0	left	0.356
306.002	0.618	stim1-7	n/a
312.653	0.613	stim2-10	n/a
313.298	0.0	error	0.708
313.298	0.0	right	0.708
318.955	0.605	stim1-20	n/a
328.092	0.6	stim2-28	n/a
328.724	0.0	left	0.405
334.406	0.601	stim1-5	n/a
342.539	0.618	stim2-2	n/a
343.19	0.0	right	0.422
348.85	0.604	stim1-20	n/a
356.486	0.616	stim2-57	n/a
357.134	0.0	left	0.291
362.798	0.604	stim1-10	n/a
369.934	0.622	stim2-5	n/a
370.588	0.0	right	0.303
376.237	0.626	stim1-14	n/a
384.895	0.603	stim2-15	n/a
385.53	0.0	left	0.487
391.202	0.628	stim1-5	n/a
400.863	0.622	stim2-7	n/a
401.517	0.0	left	0.79
407.16	0.629	stim1-5	n/a
415.322	0.614	stim2-2	n/a
415.968	0.0	right	0.348
421.611	0.608	stim1-28	n/a
429.251	0.617	stim2-56	n/a
429.901	0.0	left	0.357
435.556	0.605	stim1-14	n/a
442.193	0.603	stim2-28	n/a
442.828	0.0	left	0.678
448.517	0.604	stim1-28	n/a
458.153	0.617	stim2-79	n/a
458.804	0.0	left	0.474
464.477	0.605	stim1-20	n/a
473.615	0.632	stim2-28	n/a
474.279	0.0	left	0.493
479.92	0.603	stim1-10	n/a
487.055	0.621	stim2-7	n/a
487.709	0.0	right	0.301
493.375	0.626	stim1-5	n/a
502.0340000000001	0.632	stim2-10	n/a
502.698	0.0	left	0.327
508.333	0.606	stim1-10	n/a
515.9720000000001	0.618	stim2-4	n/a
516.623	0.0	right	0.244
