onset	duration	trial_type	response_time
2.536999999999999	0.627	stim1-5	n/a
11.195999999999998	0.602	stim2-14	n/a
11.832	0.0	left	0.276
17.482999999999997	0.605	stim1-14	n/a
27.12	0.628	stim2-7	n/a
27.78	0.0	right	0.258
33.441	0.604	stim1-14	n/a
41.577000000000005	0.6	stim2-20	n/a
42.209	0.0	left	1.083
47.876	0.608	stim1-10	n/a
54.517	0.624	stim2-14	n/a
55.173	0.0	left	1.524
60.839000000000006	0.605	stim1-28	n/a
68.47800000000001	0.631	stim2-10	n/a
69.14099999999999	0.0	right	0.489
74.80000000000001	0.62	stim1-7	n/a
83.952	0.632	stim2-10	n/a
84.61699999999999	0.0	left	0.567
90.267	0.608	stim1-28	n/a
97.407	0.6	stim2-40	n/a
98.04	0.0	left	0.138
103.703	0.605	stim1-10	n/a
111.34	0.626	stim2-7	n/a
111.998	0.0	right	0.439
117.644	0.606	stim1-14	n/a
124.783	0.633	stim2-40	n/a
125.44799999999998	0.0	left	0.326
131.111	0.607	stim1-28	n/a
139.251	0.63	stim2-27	n/a
139.91299999999998	0.0	right	0.596
145.551	0.603	stim1-7	n/a
152.18699999999998	0.617	stim2-2	n/a
152.83599999999998	0.0	right	0.46
158.506	0.602	stim1-7	n/a
167.14	0.623	stim2-6	n/a
167.796	0.0	right	1.611
173.45	0.604	stim1-28	n/a
183.087	0.617	stim2-56	n/a
183.737	0.0	left	0.187
189.389	0.631	stim1-20	n/a
198.552	0.631	stim2-19	n/a
199.215	0.0	left	0.734
199.215	0.0	error	0.734
204.826	0.631	stim1-5	n/a
211.49	0.628	stim2-4	n/a
212.151	0.0	right	1.037
217.775	0.607	stim1-28	n/a
227.414	0.603	stim2-27	n/a
228.05	0.0	left	0.272
228.05	0.0	error	0.272
233.722	0.607	stim1-7	n/a
241.361	0.615	stim2-6	n/a
242.009	0.0	right	1.473
247.687	0.607	stim1-20	n/a
256.326	0.62	stim2-57	n/a
256.978	0.0	left	0.812
262.647	0.603	stim1-7	n/a
271.782	0.63	stim2-14	n/a
272.444	0.0	left	0.534
278.094	0.606	stim1-14	n/a
285.232	0.632	stim2-20	n/a
285.896	0.0	left	0.793
291.537	0.617	stim1-7	n/a
299.686	0.62	stim2-4	n/a
300.338	0.0	right	0.179
305.985	0.606	stim1-20	n/a
312.625	0.614	stim2-57	n/a
313.273	0.0	left	0.179
318.942	0.602	stim1-10	n/a
328.576	0.6	stim2-14	n/a
329.209	0.0	left	0.887
334.882	0.601	stim1-10	n/a
343.515	0.622	stim2-4	n/a
344.169	0.0	right	1.797
349.842	0.606	stim1-20	n/a
356.98	0.601	stim2-40	n/a
357.613	0.0	left	0.17
363.283	0.618	stim1-5	n/a
370.933	0.616	stim2-4	n/a
371.581	0.0	right	0.733
377.239	0.606	stim1-14	n/a
385.379	0.6	stim2-10	n/a
386.012	0.0	right	1.671
391.686	0.608	stim1-14	n/a
400.826	0.63	stim2-5	n/a
401.488	0.0	right	0.453
407.17	0.62	stim1-10	n/a
414.822	0.616	stim2-9	n/a
415.471	0.0	right	2.128
421.087	0.604	stim1-20	n/a
430.225	0.603	stim2-40	n/a
430.861	0.0	error	1.897
430.861	0.0	right	1.897
436.533	0.601	stim1-28	n/a
443.666	0.632	stim2-20	n/a
444.33	0.0	right	1.839
449.989	0.604	stim1-5	n/a
458.125	0.633	stim2-10	n/a
458.791	0.0	left	0.184
464.437	0.607	stim1-20	n/a
473.077	0.602	stim2-28	n/a
479.358	0.603	stim1-10	n/a
485.993	0.62	stim2-5	n/a
486.645	0.0	error	1.548
486.645	0.0	left	1.548
492.292	0.601	stim1-5	n/a
501.927	0.601	stim2-14	n/a
502.56	0.0	left	0.594
508.23	0.631	stim1-5	n/a
517.893	0.62	stim2-3	n/a
518.5450000000001	0.0	right	0.268
