onset	duration	trial_type	response_time
2.530000000000001	0.616	stim1-5	n/a
10.677000000000008	0.624	stim2-2	n/a
11.332999999999998	0.0	right	0.925
17.064999999999998	0.605	stim1-7	n/a
23.703000000000003	0.62	stim2-5	n/a
24.355000000000004	0.0	right	0.758
30.003	0.625	stim1-5	n/a
38.66	0.614	stim2-2	n/a
39.307	0.0	right	0.319
44.965	0.604	stim1-14	n/a
52.601	0.619	stim2-5	n/a
53.253	0.0	right	1.306
58.92700000000001	0.629	stim1-5	n/a
68.589	0.624	stim2-6	n/a
69.245	0.0	left	0.478
74.86000000000001	0.606	stim1-14	n/a
83.99799999999999	0.624	stim2-7	n/a
84.655	0.0	right	0.272
90.33	0.621	stim1-14	n/a
97.484	0.622	stim2-7	n/a
98.138	0.0	right	0.488
103.772	0.605	stim1-28	n/a
111.91	0.6	stim2-40	n/a
112.544	0.0	left	0.388
118.232	0.627	stim1-5	n/a
125.392	0.617	stim2-3	n/a
126.042	0.0	right	0.275
131.686	0.607	stim1-14	n/a
140.825	0.629	stim2-10	n/a
141.486	0.0	right	0.001
147.15	0.603	stim1-7	n/a
155.786	0.628	stim2-8	n/a
156.447	0.0	left	0.775
162.105	0.607	stim1-7	n/a
171.745	0.62	stim2-4	n/a
172.397	0.0	right	0.412
178.056	0.604	stim1-14	n/a
185.693	0.625	stim2-7	n/a
186.351	0.0	right	0.337
192.003	0.605	stim1-20	n/a
198.641	0.603	stim2-21	n/a
199.276	0.0	left	0.314
204.928	0.604	stim1-20	n/a
211.564	0.601	stim2-10	n/a
212.197	0.0	right	0.278
217.879	0.62	stim1-5	n/a
225.032	0.623	stim2-6	n/a
225.688	0.0	left	0.606
231.31	0.606	stim1-28	n/a
239.948	0.615	stim2-56	n/a
240.59500000000003	0.0	left	0.327
246.25600000000003	0.605	stim1-28	n/a
255.895	0.6	stim2-10	n/a
256.527	0.0	right	0.318
262.221	0.606	stim1-20	n/a
269.86	0.6	stim2-28	n/a
270.492	0.0	left	0.321
276.18	0.605	stim1-10	n/a
284.317	0.632	stim2-20	n/a
284.982	0.0	left	0.254
290.64	0.622	stim1-14	n/a
299.794	0.601	stim2-20	n/a
300.427	0.0	right	0.328
300.427	0.0	error	0.328
306.102	0.604	stim1-7	n/a
314.238	0.617	stim2-4	n/a
314.887	0.0	right	0.317
320.541	0.606	stim1-28	n/a
328.18	0.6	stim2-40	n/a
328.812	0.0	left	0.189
334.503	0.607	stim1-20	n/a
343.142	0.6	stim2-10	n/a
343.774	0.0	right	0.262
349.443	0.605	stim1-28	n/a
356.581	0.632	stim2-10	n/a
357.246	0.0	right	0.274
362.892	0.604	stim1-7	n/a
372.03	0.63	stim2-10	n/a
372.693	0.0	left	0.219
378.351	0.604	stim1-10	n/a
384.988	0.602	stim2-11	n/a
385.622	0.0	left	0.37
391.3	0.607	stim1-10	n/a
400.94	0.601	stim2-28	n/a
401.573	0.0	right	0.252
401.573	0.0	error	0.252
407.265	0.607	stim1-20	n/a
416.904	0.615	stim2-57	n/a
417.551	0.0	left	0.248
423.202	0.608	stim1-20	n/a
430.343	0.632	stim2-40	n/a
431.009	0.0	left	0.242
436.658	0.627	stim1-5	n/a
443.318	0.62	stim2-7	n/a
443.972	0.0	left	0.302
449.608	0.6	stim1-28	n/a
457.741	0.603	stim2-40	n/a
458.376	0.0	left	0.289
464.06500000000005	0.605	stim1-7	n/a
471.703	0.616	stim2-8	n/a
472.352	0.0	left	0.959
478.034	0.605	stim1-10	n/a
486.6710000000001	0.602	stim2-28	n/a
487.306	0.0	right	0.253
487.306	0.0	error	0.253
492.99	0.605	stim1-10	n/a
502.128	0.601	stim2-28	n/a
502.76200000000006	0.0	left	0.322
508.458	0.608	stim1-10	n/a
518.099	0.6	stim2-14	n/a
518.731	0.0	error	0.193
518.731	0.0	right	0.193
