onset	duration	trial_type	response_time
2.5450000000000017	0.629	stim1-5	n/a
10.207000000000004	0.616	stim2-2	n/a
10.855	0.0	right	0.531
16.476000000000003	0.606	stim1-28	n/a
23.614	0.618	stim2-79	n/a
24.265000000000004	0.0	left	0.354
29.918000000000003	0.603	stim1-7	n/a
39.053	0.614	stim2-4	n/a
39.7	0.0	right	0.568
45.382000000000005	0.632	stim1-5	n/a
54.04599999999999	0.626	stim2-14	n/a
54.705	0.0	left	0.469
60.31	0.618	stim1-5	n/a
66.96	0.626	stim2-7	n/a
67.618	0.0	left	0.532
73.25999999999999	0.603	stim1-7	n/a
81.395	0.619	stim2-5	n/a
82.048	0.0	right	0.597
87.718	0.604	stim1-20	n/a
97.354	0.618	stim2-57	n/a
98.006	0.0	left	0.421
103.666	0.608	stim1-14	n/a
110.306	0.602	stim2-10	n/a
110.94	0.0	left	1.18
110.94	0.0	error	1.18
116.609	0.603	stim1-14	n/a
125.745	0.631	stim2-10	n/a
126.408	0.0	right	1.047
132.049	0.606	stim1-20	n/a
141.687	0.617	stim2-57	n/a
142.33599999999998	0.0	left	0.622
148.004	0.609	stim1-20	n/a
155.145	0.6	stim2-28	n/a
155.777	0.0	left	0.364
161.443	0.602	stim1-10	n/a
170.077	0.63	stim2-28	n/a
170.741	0.0	left	1.843
176.405	0.605	stim1-10	n/a
184.044	0.618	stim2-5	n/a
184.695	0.0	right	0.273
190.338	0.606	stim1-28	n/a
198.476	0.6	stim2-14	n/a
199.11	0.0	right	0.93
204.796	0.601	stim1-7	n/a
213.43	0.612	stim2-2	n/a
214.074	0.0	right	0.471
219.753	0.607	stim1-28	n/a
227.892	0.604	stim2-40	n/a
228.528	0.0	left	0.524
234.185	0.605	stim1-20	n/a
243.324	0.602	stim2-10	n/a
243.958	0.0	right	0.389
249.66	0.608	stim1-10	n/a
259.30100000000004	0.631	stim2-20	n/a
259.96500000000003	0.0	left	0.555
265.596	0.625	stim1-5	n/a
272.754	0.631	stim2-7	n/a
273.41700000000003	0.0	left	1.059
279.033	0.627	stim1-5	n/a
286.692	0.617	stim2-2	n/a
287.341	0.0	right	0.489
292.971	0.607	stim1-28	n/a
299.61	0.6	stim2-10	n/a
300.244	0.0	error	1.177
300.244	0.0	left	1.177
305.90900000000005	0.603	stim1-10	n/a
313.045	0.616	stim2-4	n/a
313.69300000000004	0.0	right	0.411
319.377	0.61	stim1-28	n/a
327.02000000000004	0.601	stim2-14	n/a
327.653	0.0	left	1.147
327.653	0.0	error	1.147
333.329	0.603	stim1-7	n/a
341.964	0.62	stim2-4	n/a
342.61600000000004	0.0	right	0.548
348.269	0.603	stim1-7	n/a
354.90400000000005	0.616	stim2-2	n/a
355.55300000000005	0.0	right	0.611
361.24	0.604	stim1-10	n/a
369.376	0.629	stim2-7	n/a
370.037	0.0	left	1.559
370.037	0.0	error	1.559
375.675	0.609	stim1-14	n/a
384.816	0.601	stim2-40	n/a
385.4500000000001	0.0	left	1.121
391.131	0.605	stim1-28	n/a
400.768	0.617	stim2-56	n/a
401.417	0.0	left	0.497
407.086	0.605	stim1-14	n/a
415.723	0.622	stim2-5	n/a
416.377	0.0	right	0.707
422.035	0.625	stim1-5	n/a
431.192	0.62	stim2-4	n/a
431.845	0.0	right	0.643
437.475	0.607	stim1-14	n/a
444.115	0.618	stim2-10	n/a
444.766	0.0	right	1.217
450.414	0.604	stim1-20	n/a
457.55	0.602	stim2-40	n/a
458.185	0.0	left	0.22
463.876	0.605	stim1-20	n/a
471.513	0.601	stim2-19	n/a
472.146	0.0	error	0.426
472.146	0.0	left	0.426
477.817	0.607	stim1-7	n/a
485.956	0.6	stim2-14	n/a
486.58900000000006	0.0	left	0.527
492.259	0.605	stim1-10	n/a
501.8960000000001	0.612	stim2-9	n/a
502.5400000000001	0.0	right	1.752
508.2000000000001	0.605	stim1-14	n/a
516.337	0.62	stim2-5	n/a
516.989	0.0	right	0.506
