onset	duration	trial_type	response_time
2.5440000000000005	0.624	stim1-7	n/a
11.701	0.616	stim2-4	n/a
12.35	0.0	right	0.407
17.975	0.601	stim1-10	n/a
26.609	0.618	stim2-5	n/a
27.259	0.0	right	0.631
32.934	0.606	stim1-14	n/a
41.073	0.633	stim2-40	n/a
41.739	0.0	left	0.344
47.38100000000001	0.608	stim1-20	n/a
55.021	0.6	stim2-28	n/a
55.653	0.0	left	0.535
61.322	0.605	stim1-14	n/a
70.959	0.601	stim2-13	n/a
71.59200000000001	0.0	right	0.477
77.28299999999999	0.631	stim1-7	n/a
83.947	0.631	stim2-14	n/a
84.61099999999999	0.0	left	0.305
90.215	0.632	stim1-5	n/a
97.38	0.626	stim2-7	n/a
98.038	0.0	right	0.586
98.038	0.0	error	0.586
103.671	0.6	stim1-7	n/a
112.303	0.63	stim2-10	n/a
112.965	0.0	left	0.33
118.63299999999998	0.605	stim1-20	n/a
126.26999999999998	0.603	stim2-40	n/a
126.906	0.0	left	0.474
132.58499999999998	0.606	stim1-14	n/a
139.72299999999998	0.6	stim2-13	n/a
140.357	0.0	right	0.976
146.025	0.601	stim1-7	n/a
154.158	0.6	stim2-14	n/a
154.79	0.0	left	0.511
160.475	0.606	stim1-28	n/a
167.113	0.6	stim2-14	n/a
167.74599999999998	0.0	left	0.593
167.74599999999998	0.0	error	0.593
173.42	0.604	stim1-28	n/a
182.556	0.632	stim2-56	n/a
183.221	0.0	left	0.777
188.879	0.606	stim1-20	n/a
198.517	0.633	stim2-14	n/a
199.183	0.0	right	0.372
204.825	0.62	stim1-5	n/a
211.978	0.623	stim2-4	n/a
212.633	0.0	right	0.594
218.272	0.607	stim1-28	n/a
227.411	0.6	stim2-14	n/a
228.043	0.0	error	0.326
228.043	0.0	left	0.326
233.734	0.603	stim1-20	n/a
241.371	0.618	stim2-57	n/a
242.021	0.0	left	0.36
247.683	0.603	stim1-10	n/a
256.319	0.604	stim2-20	n/a
256.956	0.0	right	1.36
256.956	0.0	error	1.36
262.648	0.627	stim1-5	n/a
272.308	0.617	stim2-3	n/a
272.958	0.0	right	0.708
278.612	0.606	stim1-20	n/a
285.25	0.605	stim2-40	n/a
285.887	0.0	left	0.228
291.553	0.607	stim1-28	n/a
299.692	0.631	stim2-10	n/a
300.356	0.0	right	0.293
306.02	0.626	stim1-5	n/a
314.179	0.632	stim2-14	n/a
314.843	0.0	left	0.866
320.459	0.604	stim1-14	n/a
329.095	0.601	stim2-20	n/a
329.729	0.0	error	1.289
329.729	0.0	right	1.289
335.415	0.606	stim1-10	n/a
345.053	0.627	stim2-9	n/a
345.713	0.0	right	0.801
351.37	0.605	stim1-10	n/a
358.008	0.623	stim2-4	n/a
358.663	0.0	right	0.421
364.323	0.617	stim1-7	n/a
371.472	0.621	stim2-5	n/a
372.125	0.0	right	0.989
377.797	0.622	stim1-7	n/a
385.452	0.618	stim2-4	n/a
386.102	0.0	right	0.469
391.714	0.607	stim1-28	n/a
400.854	0.601	stim2-27	n/a
401.488	0.0	right	0.944
407.152	0.606	stim1-10	n/a
415.79	0.6	stim2-28	n/a
416.422	0.0	left	0.298
422.085	0.605	stim1-28	n/a
430.223	0.631	stim2-20	n/a
430.887	0.0	right	1.164
436.546	0.605	stim1-14	n/a
446.184	0.629	stim2-7	n/a
446.845	0.0	right	0.29
452.514	0.624	stim1-5	n/a
460.17	0.615	stim2-4	n/a
460.818	0.0	right	0.797
466.467	0.619	stim1-5	n/a
475.618	0.615	stim2-2	n/a
476.266	0.0	right	0.507
481.916	0.604	stim1-14	n/a
489.053	0.602	stim2-13	n/a
489.688	0.0	left	0.644
489.688	0.0	error	0.644
495.383	0.606	stim1-20	n/a
502.02	0.626	stim2-14	n/a
502.678	0.0	right	2.353
508.323	0.602	stim1-10	n/a
516.958	0.6	stim2-9	n/a
517.59	0.0	error	0.834
517.59	0.0	left	0.834
