onset	duration	trial_type	response_time
2.5400000000000027	0.6	stim1-5	n/a
10.172000000000004	0.632	stim2-6	n/a
10.838	0.0	left	0.443
16.5	0.63	stim1-14	n/a
26.162	0.611	stim2-40	n/a
26.806000000000004	0.0	left	0.389
32.467	0.607	stim1-20	n/a
40.607	0.601	stim2-14	n/a
41.239	0.0	right	0.313
46.915000000000006	0.601	stim1-20	n/a
53.548	0.6	stim2-7	n/a
54.182	0.0	right	0.233
59.887	0.6	stim1-10	n/a
68.52	0.602	stim2-14	n/a
69.154	0.0	left	0.485
74.839	0.605	stim1-14	n/a
83.976	0.603	stim2-15	n/a
84.612	0.0	right	0.595
84.612	0.0	error	0.595
90.283	0.605	stim1-10	n/a
97.42	0.616	stim2-4	n/a
98.068	0.0	right	0.408
103.713	0.608	stim1-28	n/a
110.353	0.602	stim2-10	n/a
110.987	0.0	right	0.395
116.64900000000002	0.6	stim1-5	n/a
125.783	0.63	stim2-4	n/a
126.446	0.0	right	0.382
132.09300000000002	0.607	stim1-20	n/a
141.73200000000003	0.632	stim2-10	n/a
142.397	0.0	right	0.79
148.03699999999998	0.604	stim1-20	n/a
155.173	0.6	stim2-7	n/a
155.805	0.0	right	0.417
161.497	0.604	stim1-7	n/a
170.134	0.633	stim2-14	n/a
170.801	0.0	left	0.282
176.45499999999998	0.621	stim1-7	n/a
184.108	0.6	stim2-14	n/a
184.74	0.0	left	0.469
190.421	0.606	stim1-20	n/a
198.55900000000003	0.6	stim2-28	n/a
199.192	0.0	left	0.477
204.879	0.605	stim1-10	n/a
211.517	0.627	stim2-4	n/a
212.177	0.0	right	0.312
217.829	0.601	stim1-10	n/a
227.462	0.601	stim2-20	n/a
228.09500000000003	0.0	left	0.47
233.772	0.612	stim1-28	n/a
241.916	0.63	stim2-10	n/a
242.579	0.0	right	0.316
248.233	0.604	stim1-7	n/a
255.37	0.626	stim2-4	n/a
256.028	0.0	right	0.223
261.688	0.602	stim1-5	n/a
269.322	0.627	stim2-4	n/a
269.982	0.0	right	0.337
275.613	0.625	stim1-14	n/a
284.77	0.632	stim2-7	n/a
285.436	0.0	right	0.26
291.065	0.606	stim1-7	n/a
299.705	0.602	stim2-14	n/a
300.34	0.0	left	0.216
306.022	0.6	stim1-5	n/a
312.654	0.624	stim2-4	n/a
313.31	0.0	right	0.297
318.967	0.603	stim1-28	n/a
326.604	0.612	stim2-40	n/a
327.248	0.0	left	0.403
332.928	0.604	stim1-7	n/a
341.564	0.603	stim2-20	n/a
342.199	0.0	left	0.42
347.885	0.626	stim1-7	n/a
357.043	0.631	stim2-5	n/a
357.707	0.0	right	0.308
363.35	0.607	stim1-28	n/a
370.491	0.63	stim2-20	n/a
371.153	0.0	right	0.442
376.802	0.632	stim1-5	n/a
386.466	0.633	stim2-10	n/a
387.132	0.0	left	0.531
392.733	0.609	stim1-14	n/a
400.874	0.601	stim2-15	n/a
401.507	0.0	left	0.349
407.194	0.606	stim1-14	n/a
416.332	0.633	stim2-15	n/a
416.997	0.0	right	0.471
416.997	0.0	error	0.471
422.643	0.604	stim1-28	n/a
429.779	0.622	stim2-79	n/a
430.434	0.0	left	0.283
436.082	0.617	stim1-5	n/a
442.732	0.6	stim2-14	n/a
443.364	0.0	left	0.315
449.048	0.608	stim1-28	n/a
457.69	0.633	stim2-29	n/a
458.356	0.0	left	0.461
463.997	0.606	stim1-10	n/a
471.636	0.603	stim2-20	n/a
472.272	0.0	left	0.322
477.926	0.602	stim1-20	n/a
486.061	0.606	stim2-40	n/a
486.7	0.0	left	0.409
492.383	0.623	stim1-14	n/a
502.04	0.6	stim2-20	n/a
502.672	0.0	right	0.464
502.672	0.0	error	0.464
508.341	0.603	stim1-10	n/a
517.976	0.631	stim2-7	n/a
518.639	0.0	right	0.258
