onset	duration	trial_type	response_time
2.5420000000000016	0.602	stim1-7	n/a
9.677	0.63	stim2-5	n/a
10.341	0.0	right	0.576
16.007000000000005	0.606	stim1-28	n/a
24.646	0.632	stim2-10	n/a
25.31	0.0	right	0.231
30.944000000000003	0.602	stim1-7	n/a
38.578	0.63	stim2-4	n/a
39.24	0.0	right	0.248
44.88	0.608	stim1-14	n/a
54.021	0.633	stim2-5	n/a
54.688	0.0	right	0.248
60.32900000000001	0.605	stim1-7	n/a
66.96600000000001	0.626	stim2-4	n/a
67.625	0.0	right	0.08
73.274	0.604	stim1-20	n/a
82.91	0.617	stim2-57	n/a
83.56	0.0	left	0.563
89.22800000000001	0.632	stim1-20	n/a
97.392	0.601	stim2-14	n/a
98.026	0.0	left	0.781
98.026	0.0	error	0.781
103.694	0.604	stim1-14	n/a
110.83	0.6	stim2-10	n/a
111.462	0.0	right	0.287
117.15	0.601	stim1-5	n/a
126.28300000000002	0.632	stim2-10	n/a
126.948	0.0	left	0.156
132.593	0.602	stim1-28	n/a
140.228	0.631	stim2-10	n/a
140.891	0.0	right	0.159
146.552	0.606	stim1-28	n/a
156.19	0.6	stim2-29	n/a
156.823	0.0	left	0.427
162.48	0.6	stim1-20	n/a
170.613	0.604	stim2-40	n/a
171.249	0.0	left	0.236
176.923	0.604	stim1-7	n/a
185.559	0.631	stim2-14	n/a
186.222	0.0	error	0.029
186.222	0.0	right	0.029
191.878	0.601	stim1-5	n/a
198.512	0.614	stim2-2	n/a
199.159	0.0	right	0.268
204.834	0.603	stim1-7	n/a
211.969	0.622	stim2-14	n/a
212.624	0.0	left	0.29
218.273	0.603	stim1-28	n/a
226.408	0.618	stim2-56	n/a
227.05900000000003	0.0	left	0.194
232.71	0.618	stim1-10	n/a
241.361	0.601	stim2-7	n/a
241.996	0.0	right	0.321
247.657	0.607	stim1-7	n/a
254.29700000000005	0.63	stim2-4	n/a
254.959	0.0	right	0.272
260.6	0.608	stim1-28	n/a
270.24	0.629	stim2-14	n/a
270.901	0.0	right	0.353
276.557	0.62	stim1-14	n/a
284.209	0.628	stim2-5	n/a
284.869	0.0	right	0.232
290.525	0.606	stim1-20	n/a
299.664	0.604	stim2-40	n/a
300.302	0.0	left	0.235
305.964	0.617	stim1-5	n/a
313.614	0.617	stim2-3	n/a
314.264	0.0	right	0.37
319.899	0.608	stim1-14	n/a
328.54	0.631	stim2-20	n/a
329.204	0.0	left	0.281
334.847	0.627	stim1-10	n/a
341.507	0.629	stim2-4	n/a
342.168	0.0	right	0.28
347.818	0.605	stim1-14	n/a
357.455	0.602	stim2-28	n/a
358.089	0.0	left	0.089
363.765	0.603	stim1-10	n/a
372.901	0.601	stim2-20	n/a
373.536	0.0	left	0.242
379.204	0.601	stim1-5	n/a
387.337	0.6	stim2-6	n/a
387.969	0.0	left	0.979
393.67	0.62	stim1-5	n/a
400.823	0.631	stim2-7	n/a
401.487	0.0	left	0.319
407.105	0.601	stim1-5	n/a
416.239	0.602	stim2-14	n/a
416.874	0.0	left	0.306
422.544	0.605	stim1-10	n/a
429.183	0.632	stim2-5	n/a
429.847	0.0	right	0.07
435.477	0.604	stim1-10	n/a
443.613	0.602	stim2-28	n/a
444.248	0.0	left	0.097
449.931	0.605	stim1-14	n/a
458.569	0.631	stim2-5	n/a
459.232	0.0	right	0.656
464.905	0.605	stim1-20	n/a
472.542	0.617	stim2-57	n/a
473.191	0.0	left	0.365
478.857	0.602	stim1-10	n/a
488.49300000000005	0.63	stim2-4	n/a
489.156	0.0	right	0.729
494.809	0.609	stim1-28	n/a
501.952	0.617	stim2-79	n/a
502.601	0.0	left	0.39
508.26200000000006	0.607	stim1-20	n/a
516.901	0.6	stim2-10	n/a
517.534	0.0	right	0.362
