onset	duration	trial_type	response_time
2.5450000000000017	0.618	stim1-28	n/a
11.696000000000002	0.601	stim2-14	n/a
12.329	0.0	right	0.308
17.987000000000002	0.606	stim1-7	n/a
25.625	0.624	stim2-6	n/a
26.281	0.0	right	1.446
31.941000000000003	0.603	stim1-5	n/a
39.078	0.633	stim2-10	n/a
39.743	0.0	left	0.38
45.403	0.607	stim1-10	n/a
52.042	0.623	stim2-4	n/a
52.698	0.0	right	0.418
58.349	0.603	stim1-7	n/a
66.98400000000001	0.601	stim2-10	n/a
67.61699999999999	0.0	left	0.641
73.299	0.606	stim1-28	n/a
81.43799999999999	0.63	stim2-10	n/a
82.101	0.0	right	0.527
87.768	0.604	stim1-14	n/a
97.404	0.602	stim2-28	n/a
98.038	0.0	left	0.495
103.702	0.605	stim1-14	n/a
112.84	0.603	stim2-28	n/a
113.476	0.0	left	0.809
119.179	0.61	stim1-28	n/a
128.821	0.603	stim2-20	n/a
129.457	0.0	right	0.32
135.114	0.608	stim1-14	n/a
142.25400000000002	0.6	stim2-20	n/a
142.887	0.0	error	1.372
142.887	0.0	right	1.372
148.556	0.606	stim1-20	n/a
156.69400000000002	0.614	stim2-57	n/a
157.342	0.0	left	0.405
163.02100000000002	0.604	stim1-20	n/a
169.65800000000002	0.627	stim2-7	n/a
170.318	0.0	right	0.404
175.959	0.608	stim1-28	n/a
183.599	0.632	stim2-14	n/a
184.263	0.0	right	0.896
189.909	0.607	stim1-14	n/a
198.548	0.601	stim2-13	n/a
199.181	0.0	left	1.204
199.181	0.0	error	1.204
204.842	0.601	stim1-10	n/a
213.975	0.6	stim2-28	n/a
214.609	0.0	left	0.411
220.286	0.602	stim1-7	n/a
228.422	0.621	stim2-4	n/a
229.076	0.0	right	0.538
234.723	0.632	stim1-5	n/a
241.888	0.623	stim2-4	n/a
242.54300000000003	0.0	right	0.799
248.16	0.631	stim1-5	n/a
255.825	0.633	stim2-10	n/a
256.491	0.0	left	0.399
262.102	0.604	stim1-10	n/a
271.739	0.603	stim2-20	n/a
272.374	0.0	left	0.379
278.052	0.606	stim1-14	n/a
284.691	0.6	stim2-28	n/a
285.323	0.0	left	0.472
291.0	0.63	stim1-7	n/a
299.66299999999995	0.6	stim2-14	n/a
300.296	0.0	left	0.909
305.953	0.628	stim1-5	n/a
313.114	0.625	stim2-4	n/a
313.771	0.0	right	0.445
319.39	0.604	stim1-28	n/a
326.027	0.633	stim2-14	n/a
326.692	0.0	right	0.513
332.354	0.633	stim1-7	n/a
340.019	0.632	stim2-10	n/a
340.684	0.0	left	0.822
346.289	0.603	stim1-5	n/a
355.42499999999995	0.616	stim2-2	n/a
356.074	0.0	right	0.277
361.743	0.602	stim1-7	n/a
369.877	0.627	stim2-6	n/a
370.537	0.0	right	1.518
376.191	0.605	stim1-28	n/a
385.828	0.626	stim2-79	n/a
386.487	0.0	left	0.331
392.149	0.605	stim1-20	n/a
400.787	0.632	stim2-10	n/a
401.451	0.0	right	0.433
407.121	0.602	stim1-10	n/a
415.756	0.618	stim2-4	n/a
416.407	0.0	right	0.455
422.064	0.604	stim1-20	n/a
430.201	0.63	stim2-10	n/a
430.864	0.0	right	0.6
436.5	0.605	stim1-10	n/a
443.639	0.615	stim2-7	n/a
444.286	0.0	right	0.919
449.958	0.607	stim1-20	n/a
459.598	0.61	stim2-40	n/a
460.242	0.0	left	0.426
465.912	0.606	stim1-10	n/a
473.55	0.602	stim2-14	n/a
474.184	0.0	left	1.776
479.873	0.607	stim1-20	n/a
486.513	0.604	stim2-14	n/a
487.15	0.0	right	1.053
492.824	0.624	stim1-5	n/a
501.981	0.602	stim2-14	n/a
502.616	0.0	left	0.44
508.268	0.607	stim1-14	n/a
516.406	0.601	stim2-10	n/a
517.04	0.0	right	0.599
