onset	duration	trial_type	response_time
2.549999999999997	0.625	stim1-28	n/a
9.206999999999994	0.605	stim2-40	n/a
9.845	0.0	left	1.55
15.548000000000002	0.606	stim1-14	n/a
24.187	0.605	stim2-40	n/a
24.826	0.0	left	0.821
30.47099999999999	0.617	stim1-5	n/a
38.621	0.632	stim2-14	n/a
39.285	0.0	left	0.771
44.91499999999999	0.6	stim1-5	n/a
52.048	0.625	stim2-4	n/a
52.705	0.0	right	0.621
58.36899999999999	0.604	stim1-20	n/a
67.50599999999999	0.632	stim2-10	n/a
68.17	0.0	right	0.686
73.806	0.606	stim1-20	n/a
81.44500000000001	0.6	stim2-19	n/a
82.07699999999998	0.0	right	0.879
87.776	0.618	stim1-7	n/a
97.427	0.6	stim2-14	n/a
98.06	0.0	left	1.439
103.727	0.605	stim1-28	n/a
110.366	0.604	stim2-40	n/a
111.003	0.0	left	1.47
116.679	0.605	stim1-10	n/a
124.817	0.602	stim2-20	n/a
125.451	0.0	left	1.053
131.12599999999998	0.624	stim1-7	n/a
140.78199999999998	0.619	stim2-2	n/a
141.43399999999997	0.0	right	1.274
147.06900000000002	0.604	stim1-14	n/a
155.70499999999998	0.63	stim2-28	n/a
156.36899999999997	0.0	left	0.367
162.03499999999997	0.609	stim1-10	n/a
169.676	0.602	stim2-20	n/a
170.31099999999998	0.0	left	0.798
175.998	0.619	stim1-14	n/a
183.149	0.601	stim2-28	n/a
183.782	0.0	left	0.61
189.447	0.633	stim1-5	n/a
198.612	0.615	stim2-4	n/a
199.26	0.0	right	1.046
204.882	0.609	stim1-28	n/a
214.523	0.601	stim2-14	n/a
215.156	0.0	right	0.578
220.879	0.604	stim1-7	n/a
227.515	0.601	stim2-20	n/a
228.15	0.0	left	0.439
233.802	0.608	stim1-14	n/a
240.944	0.601	stim2-20	n/a
241.577	0.0	left	1.053
247.249	0.604	stim1-20	n/a
255.386	0.614	stim2-57	n/a
256.033	0.0	left	0.798
261.723	0.604	stim1-10	n/a
270.36	0.618	stim2-14	n/a
271.01	0.0	right	1.022
271.01	0.0	error	1.022
276.656	0.605	stim1-20	n/a
284.293	0.604	stim2-7	n/a
284.93	0.0	right	0.718
290.596	0.606	stim1-10	n/a
299.735	0.632	stim2-20	n/a
300.399	0.0	left	1.029
306.044	0.603	stim1-10	n/a
314.68	0.6	stim2-14	n/a
315.314	0.0	left	0.518
321.009	0.603	stim1-7	n/a
328.646	0.601	stim2-5	n/a
329.279	0.0	right	0.602
334.968	0.627	stim1-5	n/a
341.627	0.629	stim2-4	n/a
342.289	0.0	right	1.105
347.915	0.605	stim1-20	n/a
357.052	0.618	stim2-57	n/a
357.704	0.0	left	0.4
363.369	0.604	stim1-28	n/a
373.005	0.633	stim2-10	n/a
373.67	0.0	right	0.47
379.306	0.605	stim1-20	n/a
386.443	0.602	stim2-28	n/a
387.077	0.0	left	0.964
392.761	0.605	stim1-7	n/a
400.898	0.617	stim2-2	n/a
401.547	0.0	right	0.946
407.207	0.602	stim1-7	n/a
413.841	0.601	stim2-14	n/a
414.476	0.0	left	0.505
420.158	0.606	stim1-14	n/a
429.797	0.632	stim2-13	n/a
430.461	0.0	right	0.466
436.102	0.631	stim1-5	n/a
444.266	0.603	stim2-14	n/a
444.901	0.0	left	0.677
450.55	0.607	stim1-14	n/a
458.189	0.629	stim2-5	n/a
458.851	0.0	right	0.248
464.501	0.603	stim1-10	n/a
471.637	0.601	stim2-20	n/a
472.27	0.0	left	0.652
477.968	0.605	stim1-28	n/a
487.105	0.616	stim2-79	n/a
487.755	0.0	left	0.418
493.412	0.602	stim1-5	n/a
502.046	0.616	stim2-4	n/a
502.695	0.0	right	0.6
508.363	0.608	stim1-28	n/a
515.504	0.6	stim2-10	n/a
516.1360000000001	0.0	right	0.5
