onset	duration	trial_type	response_time
2.539000000000001	0.601	stim1-28	n/a
11.674000000000005	0.619	stim2-79	n/a
12.326	0.0	left	0.297
18.005	0.606	stim1-20	n/a
26.143000000000004	0.63	stim2-40	n/a
26.806	0.0	right	0.454
26.806	0.0	error	0.454
32.462	0.62	stim1-5	n/a
40.115	0.617	stim2-2	n/a
40.764	0.0	right	0.517
46.42700000000001	0.624	stim1-10	n/a
55.084	0.6	stim2-11	n/a
55.716	0.0	left	0.401
61.389	0.604	stim1-28	n/a
68.52499999999999	0.616	stim2-56	n/a
69.17399999999999	0.0	left	0.237
74.848	0.603	stim1-7	n/a
81.483	0.6	stim2-14	n/a
82.117	0.0	left	0.308
87.777	0.605	stim1-14	n/a
97.415	0.632	stim2-10	n/a
98.08	0.0	right	0.634
103.721	0.606	stim1-10	n/a
111.36	0.631	stim2-11	n/a
112.025	0.0	left	1.181
117.669	0.619	stim1-7	n/a
124.82	0.601	stim2-20	n/a
125.453	0.0	left	0.275
131.131	0.601	stim1-10	n/a
139.265	0.631	stim2-14	n/a
139.929	0.0	left	0.292
145.591	0.602	stim1-14	n/a
154.226	0.63	stim2-5	n/a
154.888	0.0	right	0.577
160.54	0.605	stim1-28	n/a
169.678	0.605	stim2-40	n/a
170.315	0.0	left	0.733
176.004	0.603	stim1-28	n/a
185.639	0.615	stim2-56	n/a
186.286	0.0	left	0.497
191.947	0.605	stim1-20	n/a
198.585	0.631	stim2-7	n/a
199.249	0.0	right	0.373
204.89	0.602	stim1-28	n/a
214.025	0.618	stim2-56	n/a
214.675	0.0	left	0.653
220.34	0.623	stim1-5	n/a
227.995	0.618	stim2-3	n/a
228.646	0.0	right	0.43
234.275	0.605	stim1-20	n/a
242.913	0.618	stim2-57	n/a
243.565	0.0	left	0.24
249.239	0.629	stim1-10	n/a
255.901	0.601	stim2-20	n/a
256.534	0.0	left	0.386
262.181	0.622	stim1-5	n/a
271.835	0.618	stim2-2	n/a
272.486	0.0	right	0.485
278.142	0.626	stim1-14	n/a
285.3	0.626	stim2-5	n/a
285.959	0.0	right	0.49
291.577	0.605	stim1-14	n/a
299.715	0.605	stim2-40	n/a
300.352	0.0	left	0.246
306.02	0.6	stim1-7	n/a
314.152	0.619	stim2-2	n/a
314.804	0.0	right	0.533
320.479	0.617	stim1-7	n/a
329.628	0.602	stim2-14	n/a
330.262	0.0	left	0.735
335.937	0.602	stim1-7	n/a
343.073	0.618	stim2-2	n/a
343.724	0.0	right	0.902
349.402	0.605	stim1-14	n/a
359.039	0.6	stim2-7	n/a
359.671	0.0	right	0.629
365.337	0.618	stim1-5	n/a
373.988	0.618	stim2-3	n/a
374.639	0.0	right	0.38
380.293	0.629	stim1-7	n/a
386.954	0.628	stim2-14	n/a
387.615	0.0	left	1.262
393.236	0.604	stim1-20	n/a
400.872	0.632	stim2-14	n/a
401.536	0.0	right	0.411
407.19	0.627	stim1-5	n/a
414.85	0.614	stim2-4	n/a
415.496	0.0	right	0.664
421.147	0.603	stim1-14	n/a
430.783	0.633	stim2-28	n/a
431.449	0.0	left	0.491
437.078	0.609	stim1-28	n/a
445.719	0.632	stim2-10	n/a
446.383	0.0	right	0.7
452.023	0.607	stim1-10	n/a
458.663	0.605	stim2-20	n/a
459.3	0.0	left	1.445
464.976	0.607	stim1-20	n/a
472.116	0.604	stim2-10	n/a
472.754	0.0	right	0.418
478.417	0.603	stim1-10	n/a
486.553	0.633	stim2-20	n/a
487.219	0.0	left	0.935
492.877	0.605	stim1-20	n/a
502.015	0.617	stim2-57	n/a
502.664	0.0	left	0.383
508.318	0.626	stim1-5	n/a
515.9770000000001	0.632	stim2-10	n/a
516.6410000000001	0.0	left	0.732
