onset	duration	trial_type	response_time
2.543	0.611	stim1-28	n/a
9.187	0.604	stim2-14	n/a
9.823999999999998	0.0	right	0.413
15.494	0.604	stim1-7	n/a
24.631	0.6	stim2-20	n/a
25.263	0.0	left	0.616
30.925	0.608	stim1-20	n/a
38.565	0.6	stim2-10	n/a
39.197	0.0	right	0.568
44.876	0.622	stim1-5	n/a
53.031	0.6	stim2-14	n/a
53.664	0.0	left	0.097
59.326	0.6	stim1-5	n/a
66.459	0.601	stim2-10	n/a
67.09200000000001	0.0	left	0.726
72.76599999999999	0.607	stim1-14	n/a
81.405	0.632	stim2-10	n/a
82.071	0.0	right	1.415
87.72300000000001	0.606	stim1-28	n/a
97.362	0.632	stim2-14	n/a
98.028	0.0	right	0.95
103.66	0.608	stim1-14	n/a
111.3	0.617	stim2-5	n/a
111.949	0.0	right	0.758
117.626	0.608	stim1-14	n/a
126.76600000000002	0.632	stim2-7	n/a
127.431	0.0	right	0.484
133.06	0.607	stim1-20	n/a
141.699	0.601	stim2-28	n/a
142.334	0.0	left	0.43
148.003	0.63	stim1-5	n/a
156.16500000000002	0.622	stim2-7	n/a
156.81900000000002	0.0	left	0.233
162.463	0.619	stim1-14	n/a
169.115	0.601	stim2-7	n/a
169.749	0.0	right	0.57
175.39700000000002	0.607	stim1-10	n/a
182.537	0.601	stim2-7	n/a
183.17	0.0	right	0.206
188.836	0.621	stim1-14	n/a
198.489	0.6	stim2-7	n/a
199.121	0.0	right	0.596
204.798	0.605	stim1-10	n/a
213.435	0.6	stim2-11	n/a
214.067	0.0	right	1.077
214.067	0.0	error	1.077
219.739	0.607	stim1-28	n/a
227.878	0.618	stim2-56	n/a
228.528	0.0	left	0.153
234.178	0.62	stim1-14	n/a
243.33	0.6	stim2-20	n/a
243.963	0.0	error	1.24
243.963	0.0	right	1.24
249.642	0.608	stim1-20	n/a
259.282	0.601	stim2-28	n/a
259.915	0.0	left	0.457
265.578	0.603	stim1-10	n/a
272.713	0.602	stim2-14	n/a
273.348	0.0	left	0.708
279.039	0.6	stim1-5	n/a
286.671	0.633	stim2-10	n/a
287.337	0.0	left	0.415
292.988	0.605	stim1-20	n/a
299.625	0.602	stim2-14	n/a
300.261	0.0	right	2.397
305.951	0.604	stim1-28	n/a
315.087	0.602	stim2-56	n/a
315.721	0.0	left	0.138
321.398	0.602	stim1-7	n/a
328.033	0.624	stim2-4	n/a
328.689	0.0	right	0.398
334.362	0.606	stim1-7	n/a
342.0	0.603	stim2-8	n/a
342.636	0.0	left	0.652
348.308	0.607	stim1-20	n/a
356.947	0.601	stim2-21	n/a
357.581	0.0	left	0.415
363.24	0.605	stim1-28	n/a
371.377	0.604	stim2-40	n/a
372.014	0.0	left	0.353
377.699	0.603	stim1-10	n/a
387.335	0.601	stim2-20	n/a
387.969	0.0	left	0.326
393.673	0.63	stim1-5	n/a
400.835	0.603	stim2-6	n/a
401.47	0.0	left	0.84
407.124	0.603	stim1-10	n/a
416.259	0.605	stim2-14	n/a
416.897	0.0	left	0.676
422.585	0.604	stim1-10	n/a
431.222	0.628	stim2-5	n/a
431.883	0.0	right	0.286
437.543	0.619	stim1-7	n/a
445.196	0.617	stim2-5	n/a
445.845	0.0	right	0.449
451.498	0.629	stim1-5	n/a
461.159	0.613	stim2-4	n/a
461.806	0.0	right	0.774
467.459	0.606	stim1-7	n/a
474.597	0.617	stim2-14	n/a
475.246	0.0	left	0.32
480.909	0.605	stim1-28	n/a
487.547	0.614	stim2-79	n/a
488.194	0.0	left	0.179
493.879	0.601	stim1-7	n/a
502.011	0.6	stim2-14	n/a
502.644	0.0	left	0.55
508.302	0.607	stim1-20	n/a
514.942	0.602	stim2-14	n/a
515.577	0.0	right	0.681
