onset	duration	trial_type	response_time
2.545000000000009	0.612	stim1-7	n/a
9.189	0.6	stim2-14	n/a
9.821999999999996	0.0	left	0.322
15.488999999999995	0.605	stim1-14	n/a
23.126	0.631	stim2-10	n/a
23.79	0.0	right	0.323
29.463	0.604	stim1-10	n/a
36.599	0.622	stim2-4	n/a
37.254	0.0	right	0.228
42.88700000000001	0.633	stim1-5	n/a
52.554	0.62	stim2-3	n/a
53.206	0.0	right	0.317
58.831	0.601	stim1-7	n/a
67.964	0.616	stim2-2	n/a
68.612	0.0	right	0.235
74.286	0.6	stim1-7	n/a
82.418	0.618	stim2-2	n/a
83.06799999999998	0.0	right	0.427
88.72800000000001	0.603	stim1-7	n/a
97.363	0.622	stim2-4	n/a
98.017	0.0	right	0.233
103.688	0.609	stim1-10	n/a
110.329	0.62	stim2-5	n/a
110.981	0.0	right	0.297
116.646	0.607	stim1-10	n/a
123.785	0.632	stim2-11	n/a
124.45	0.0	left	0.553
130.082	0.602	stim1-7	n/a
138.216	0.632	stim2-20	n/a
138.88	0.0	left	0.658
144.522	0.609	stim1-28	n/a
153.16299999999998	0.601	stim2-10	n/a
153.796	0.0	right	0.241
159.47	0.628	stim1-5	n/a
167.13	0.62	stim2-2	n/a
167.78199999999998	0.0	right	0.265
173.42499999999998	0.632	stim1-5	n/a
182.589	0.601	stim2-14	n/a
183.223	0.0	left	0.386
188.885	0.602	stim1-7	n/a
198.52	0.6	stim2-8	n/a
199.152	0.0	left	0.417
204.846	0.608	stim1-28	n/a
214.487	0.628	stim2-29	n/a
215.148	0.0	right	0.42
215.148	0.0	error	0.42
220.78	0.604	stim1-14	n/a
229.416	0.628	stim2-7	n/a
230.077	0.0	right	0.324
235.74	0.617	stim1-5	n/a
243.89	0.623	stim2-4	n/a
244.546	0.0	right	0.37
250.19	0.607	stim1-28	n/a
259.331	0.621	stim2-79	n/a
259.985	0.0	left	0.373
265.63100000000003	0.607	stim1-14	n/a
272.271	0.603	stim2-10	n/a
272.906	0.0	right	0.265
278.567	0.603	stim1-20	n/a
286.202	0.632	stim2-10	n/a
286.86600000000004	0.0	right	0.33
292.505	0.606	stim1-20	n/a
299.64500000000004	0.601	stim2-21	n/a
300.279	0.0	error	0.289
300.279	0.0	right	0.289
305.94300000000004	0.607	stim1-20	n/a
312.583	0.602	stim2-10	n/a
313.21900000000005	0.0	right	0.238
318.886	0.608	stim1-20	n/a
328.02700000000004	0.601	stim2-14	n/a
328.66	0.0	right	0.469
334.33700000000005	0.607	stim1-10	n/a
341.976	0.601	stim2-14	n/a
342.60900000000004	0.0	left	0.528
348.28000000000003	0.604	stim1-28	n/a
355.418	0.608	stim2-40	n/a
356.05800000000005	0.0	left	0.184
361.747	0.627	stim1-5	n/a
371.407	0.602	stim2-10	n/a
372.041	0.0	left	0.122
377.689	0.622	stim1-5	n/a
385.843	0.615	stim2-3	n/a
386.49	0.0	right	0.225
392.151	0.608	stim1-10	n/a
400.791	0.601	stim2-11	n/a
401.425	0.0	left	0.872
407.117	0.609	stim1-20	n/a
415.758	0.632	stim2-28	n/a
416.422	0.0	error	0.395
416.422	0.0	right	0.395
422.054	0.604	stim1-14	n/a
431.191	0.633	stim2-15	n/a
431.8560000000001	0.0	error	0.742
431.8560000000001	0.0	right	0.742
437.508	0.608	stim1-10	n/a
445.65	0.631	stim2-11	n/a
446.314	0.0	left	0.669
451.9620000000001	0.603	stim1-20	n/a
459.598	0.601	stim2-21	n/a
460.2310000000001	0.0	left	0.446
465.925	0.608	stim1-28	n/a
472.565	0.616	stim2-56	n/a
473.213	0.0	left	0.341
478.8560000000001	0.608	stim1-14	n/a
488.497	0.606	stim2-40	n/a
489.1350000000001	0.0	left	0.409
494.82200000000006	0.605	stim1-14	n/a
501.96	0.6	stim2-10	n/a
502.592	0.0	right	0.385
508.261	0.606	stim1-28	n/a
515.4	0.603	stim2-10	n/a
516.035	0.0	right	0.519
