onset	duration	trial_type	response_time
2.539999999999999	0.611	stim1-5	n/a
11.685	0.604	stim2-10	n/a
12.322	0.0	left	0.382
17.994999999999997	0.604	stim1-14	n/a
26.632	0.632	stim2-10	n/a
27.296	0.0	right	1.438
32.941	0.607	stim1-28	n/a
39.581	0.602	stim2-29	n/a
40.217	0.0	left	0.319
45.9	0.603	stim1-10	n/a
53.035	0.632	stim2-28	n/a
53.7	0.0	left	0.274
59.357	0.607	stim1-28	n/a
67.497	0.633	stim2-14	n/a
68.162	0.0	right	0.416
73.791	0.631	stim1-5	n/a
81.454	0.619	stim2-6	n/a
82.106	0.0	left	1.047
87.745	0.603	stim1-20	n/a
97.381	0.6	stim2-10	n/a
98.014	0.0	right	0.369
103.688	0.603	stim1-14	n/a
113.324	0.6	stim2-5	n/a
113.956	0.0	right	0.428
119.628	0.605	stim1-10	n/a
127.266	0.6	stim2-28	n/a
127.899	0.0	left	1.462
133.568	0.604	stim1-7	n/a
141.705	0.631	stim2-20	n/a
142.369	0.0	left	0.308
148.013	0.604	stim1-20	n/a
156.649	0.606	stim2-28	n/a
157.287	0.0	left	0.533
162.965	0.606	stim1-28	n/a
172.103	0.6	stim2-40	n/a
172.736	0.0	left	0.34
178.411	0.606	stim1-7	n/a
185.049	0.6	stim2-8	n/a
185.681	0.0	left	1.644
191.366	0.631	stim1-5	n/a
198.531	0.632	stim2-10	n/a
199.197	0.0	left	0.085
204.814	0.603	stim1-7	n/a
213.449	0.602	stim2-20	n/a
214.085	0.0	left	0.553
219.783	0.604	stim1-20	n/a
226.419	0.632	stim2-28	n/a
227.084	0.0	left	0.848
232.711	0.606	stim1-28	n/a
241.85	0.631	stim2-29	n/a
242.515	0.0	right	0.969
242.515	0.0	error	0.969
248.17200000000005	0.606	stim1-14	n/a
256.311	0.602	stim2-15	n/a
256.947	0.0	left	2.187
262.618	0.6	stim1-10	n/a
272.251	0.618	stim2-5	n/a
272.901	0.0	right	0.569
278.57	0.633	stim1-5	n/a
286.236	0.603	stim2-7	n/a
286.872	0.0	left	0.541
292.529	0.605	stim1-20	n/a
299.666	0.602	stim2-28	n/a
300.301	0.0	left	0.336
305.978	0.606	stim1-14	n/a
315.116	0.601	stim2-7	n/a
315.749	0.0	right	0.482
321.438	0.633	stim1-5	n/a
329.103	0.632	stim2-10	n/a
329.768	0.0	left	0.592
335.37	0.601	stim1-7	n/a
342.504	0.6	stim2-14	n/a
343.137	0.0	left	0.569
348.816	0.607	stim1-20	n/a
355.457	0.6	stim2-10	n/a
356.089	0.0	left	1.169
356.089	0.0	error	1.169
361.784	0.6	stim1-10	n/a
369.917	0.601	stim2-20	n/a
370.551	0.0	left	0.59
376.21	0.601	stim1-7	n/a
384.843	0.6	stim2-10	n/a
385.476	0.0	left	1.357
391.171	0.61	stim1-14	n/a
400.813	0.629	stim2-5	n/a
401.475	0.0	right	0.465
407.113	0.606	stim1-20	n/a
416.251	0.604	stim2-40	n/a
416.888	0.0	left	0.931
422.567	0.603	stim1-10	n/a
432.203	0.602	stim2-5	n/a
432.837	0.0	right	0.294
438.539	0.604	stim1-7	n/a
445.176	0.616	stim2-2	n/a
445.825	0.0	right	0.338
451.498	0.605	stim1-14	n/a
459.635	0.606	stim2-40	n/a
460.274	0.0	left	0.611
465.96	0.604	stim1-28	n/a
473.596	0.601	stim2-40	n/a
474.23	0.0	left	0.612
479.909	0.6	stim1-5	n/a
488.542	0.619	stim2-10	n/a
489.193	0.0	left	0.621
494.869	0.605	stim1-28	n/a
502.008	0.631	stim2-10	n/a
502.672	0.0	right	0.463
508.311	0.604	stim1-10	n/a
515.448	0.631	stim2-11	n/a
516.112	0.0	left	1.236
