onset	duration	trial_type	response_time
2.5600000000000023	0.613	stim1-7	n/a
11.206000000000005	0.627	stim2-10	n/a
11.866	0.0	left	0.775
17.558	0.62	stim1-5	n/a
26.71	0.6	stim2-14	n/a
27.342	0.0	error	0.892
27.342	0.0	right	0.892
33.025	0.624	stim1-7	n/a
40.182	0.6	stim2-14	n/a
40.815000000000005	0.0	left	0.611
46.457	0.62	stim1-7	n/a
54.11000000000001	0.63	stim2-10	n/a
54.772	0.0	left	0.66
60.403	0.623	stim1-5	n/a
70.059	0.625	stim2-10	n/a
70.71600000000001	0.0	left	0.83
76.36699999999999	0.606	stim1-28	n/a
84.505	0.631	stim2-10	n/a
85.168	0.0	right	0.687
90.794	0.602	stim1-28	n/a
97.429	0.6	stim2-20	n/a
98.06300000000002	0.0	error	1.274
98.06300000000002	0.0	left	1.274
103.759	0.62	stim1-7	n/a
110.412	0.617	stim2-5	n/a
111.062	0.0	right	0.576
116.715	0.604	stim1-20	n/a
126.352	0.63	stim2-19	n/a
127.015	0.0	error	0.89
127.015	0.0	left	0.89
132.666	0.6	stim1-10	n/a
141.798	0.615	stim2-5	n/a
142.446	0.0	right	0.472
148.118	0.604	stim1-20	n/a
155.755	0.615	stim2-57	n/a
156.40300000000002	0.0	left	0.79
162.073	0.602	stim1-14	n/a
169.208	0.617	stim2-7	n/a
169.857	0.0	right	0.415
175.535	0.606	stim1-28	n/a
184.174	0.632	stim2-14	n/a
184.838	0.0	right	0.55
190.497	0.601	stim1-14	n/a
198.63	0.603	stim2-28	n/a
199.266	0.0	left	1.075
204.92	0.6	stim1-10	n/a
212.552	0.6	stim2-14	n/a
213.185	0.0	left	1.1
218.864	0.606	stim1-28	n/a
228.502	0.6	stim2-27	n/a
229.135	0.0	left	0.86
229.135	0.0	error	0.86
234.81600000000003	0.622	stim1-7	n/a
243.97000000000003	0.626	stim2-10	n/a
244.629	0.0	left	0.566
250.265	0.607	stim1-20	n/a
256.904	0.619	stim2-7	n/a
257.555	0.0	right	0.396
263.213	0.606	stim1-28	n/a
271.851	0.601	stim2-40	n/a
272.485	0.0	left	0.618
278.172	0.62	stim1-5	n/a
285.325	0.63	stim2-14	n/a
285.987	0.0	left	0.487
291.609	0.619	stim1-5	n/a
299.761	0.612	stim2-3	n/a
300.40500000000003	0.0	right	0.643
306.046	0.618	stim1-5	n/a
315.196	0.616	stim2-3	n/a
315.845	0.0	right	0.488
321.502	0.605	stim1-20	n/a
328.639	0.625	stim2-10	n/a
329.296	0.0	right	0.698
334.972	0.606	stim1-14	n/a
344.61	0.6	stim2-40	n/a
345.243	0.0	left	0.629
350.886	0.603	stim1-20	n/a
358.522	0.6	stim2-14	n/a
359.15500000000003	0.0	right	0.776
364.845	0.604	stim1-20	n/a
373.482	0.631	stim2-10	n/a
374.146	0.0	right	0.625
379.788	0.6	stim1-10	n/a
387.921	0.632	stim2-28	n/a
388.586	0.0	left	0.56
394.252	0.603	stim1-14	n/a
400.887	0.632	stim2-13	n/a
401.551	0.0	right	1.016
407.189	0.627	stim1-10	n/a
414.849	0.6	stim2-14	n/a
415.481	0.0	left	1.169
421.138	0.619	stim1-7	n/a
429.289	0.616	stim2-6	n/a
429.937	0.0	right	0.782
435.595	0.604	stim1-14	n/a
444.731	0.6	stim2-40	n/a
445.364	0.0	left	0.809
451.051	0.601	stim1-10	n/a
459.685	0.614	stim2-7	n/a
460.332	0.0	right	0.497
465.991	0.604	stim1-28	n/a
475.627	0.613	stim2-56	n/a
476.273	0.0	left	0.707
481.964	0.618	stim1-5	n/a
489.114	0.615	stim2-3	n/a
489.761	0.0	right	0.912
495.389	0.607	stim1-14	n/a
502.028	0.63	stim2-10	n/a
502.69	0.0	right	0.903
508.338	0.602	stim1-10	n/a
517.473	0.617	stim2-5	n/a
518.122	0.0	right	0.518
