onset	duration	trial_type	response_time
2.551000000000002	0.622	stim1-10	n/a
9.704999999999998	0.605	stim2-14	n/a
10.342	0.0	left	0.584
16.051000000000002	0.617	stim1-7	n/a
25.201	0.619	stim2-5	n/a
25.85199999999999	0.0	right	0.814
31.485	0.604	stim1-14	n/a
40.121	0.623	stim2-5	n/a
40.777	0.0	error	0.625
40.777	0.0	left	0.625
46.446	0.605	stim1-28	n/a
54.085	0.602	stim2-20	n/a
54.72	0.0	left	0.558
54.72	0.0	error	0.558
60.40799999999999	0.602	stim1-14	n/a
70.043	0.631	stim2-7	n/a
70.707	0.0	right	0.757
76.34899999999999	0.606	stim1-10	n/a
82.988	0.602	stim2-28	n/a
83.62199999999999	0.0	left	0.35
89.304	0.605	stim1-28	n/a
97.441	0.617	stim2-56	n/a
98.09	0.0	left	0.457
103.748	0.604	stim1-14	n/a
111.386	0.6	stim2-13	n/a
112.018	0.0	left	1.298
112.018	0.0	error	1.298
117.71	0.624	stim1-5	n/a
126.866	0.621	stim2-4	n/a
127.519	0.0	right	0.596
133.157	0.604	stim1-10	n/a
139.793	0.601	stim2-20	n/a
140.427	0.0	left	0.439
146.105	0.605	stim1-7	n/a
155.743	0.6	stim2-20	n/a
156.375	0.0	left	0.411
162.052	0.624	stim1-14	n/a
170.708	0.609	stim2-40	n/a
171.349	0.0	left	0.342
176.995	0.625	stim1-5	n/a
185.152	0.62	stim2-4	n/a
185.804	0.0	right	0.799
191.442	0.616	stim1-7	n/a
198.59	0.632	stim2-10	n/a
199.254	0.0	left	0.375
204.882	0.603	stim1-7	n/a
214.019	0.616	stim2-2	n/a
214.668	0.0	right	0.433
220.341	0.63	stim1-5	n/a
227.504	0.601	stim2-14	n/a
228.137	0.0	left	0.365
233.802	0.607	stim1-20	n/a
240.442	0.617	stim2-57	n/a
241.092	0.0	left	0.348
246.739	0.609	stim1-20	n/a
255.38	0.616	stim2-57	n/a
256.029	0.0	left	0.282
261.684	0.606	stim1-20	n/a
269.822	0.614	stim2-40	n/a
270.46900000000005	0.0	left	0.267
276.135	0.605	stim1-7	n/a
285.773	0.63	stim2-10	n/a
286.43499999999995	0.0	left	0.311
292.08000000000004	0.605	stim1-7	n/a
299.71900000000005	0.603	stim2-10	n/a
300.35400000000004	0.0	left	0.394
306.01199999999994	0.601	stim1-28	n/a
315.645	0.609	stim2-79	n/a
316.28700000000003	0.0	left	0.289
321.972	0.604	stim1-10	n/a
328.60900000000004	0.632	stim2-28	n/a
329.275	0.0	left	0.273
334.918	0.617	stim1-5	n/a
343.568	0.619	stim2-4	n/a
344.22	0.0	right	0.466
349.857	0.607	stim1-14	n/a
357.997	0.633	stim2-7	n/a
358.663	0.0	left	0.37
358.663	0.0	error	0.37
364.305	0.607	stim1-20	n/a
371.4450000000001	0.632	stim2-7	n/a
372.11	0.0	right	0.293
377.747	0.63	stim1-5	n/a
385.409	0.601	stim2-10	n/a
386.043	0.0	left	0.341
391.688	0.605	stim1-28	n/a
400.8250000000001	0.602	stim2-27	n/a
401.459	0.0	left	0.313
401.459	0.0	error	0.313
407.14	0.608	stim1-28	n/a
413.78	0.613	stim2-40	n/a
414.426	0.0	left	0.287
420.105	0.605	stim1-10	n/a
427.24300000000005	0.631	stim2-7	n/a
427.907	0.0	right	0.521
433.573	0.624	stim1-5	n/a
442.23	0.633	stim2-10	n/a
442.896	0.0	left	0.288
448.523	0.604	stim1-28	n/a
458.161	0.631	stim2-10	n/a
458.824	0.0	right	0.317
464.468	0.608	stim1-20	n/a
472.108	0.633	stim2-14	n/a
472.773	0.0	right	0.274
478.411	0.603	stim1-20	n/a
487.5469999999999	0.602	stim2-14	n/a
488.182	0.0	right	0.269
493.8539999999999	0.604	stim1-14	n/a
501.99	0.621	stim2-5	n/a
502.6429999999999	0.0	right	0.716
508.302	0.604	stim1-10	n/a
517.938	0.633	stim2-9	n/a
518.603	0.0	error	0.517
518.603	0.0	left	0.517
