onset	duration	trial_type	response_time
2.543	0.601	stim1-14	n/a
12.177	0.633	stim2-40	n/a
12.843	0.0	left	0.269
18.487	0.602	stim1-10	n/a
27.121	0.601	stim2-14	n/a
27.754	0.0	left	0.494
33.455	0.605	stim1-10	n/a
40.093	0.626	stim2-4	n/a
40.751000000000005	0.0	right	0.386
46.403000000000006	0.62	stim1-5	n/a
53.55500000000001	0.616	stim2-2	n/a
54.20400000000001	0.0	right	0.358
59.864	0.607	stim1-20	n/a
67.503	0.632	stim2-40	n/a
68.168	0.0	left	0.265
73.805	0.619	stim1-5	n/a
82.956	0.619	stim2-4	n/a
83.608	0.0	right	0.56
89.23700000000001	0.603	stim1-14	n/a
97.373	0.601	stim2-7	n/a
98.006	0.0	right	0.397
103.679	0.62	stim1-5	n/a
110.83100000000002	0.619	stim2-4	n/a
111.484	0.0	right	0.591
117.112	0.608	stim1-28	n/a
125.252	0.631	stim2-10	n/a
125.916	0.0	right	0.304
131.553	0.63	stim1-7	n/a
138.215	0.633	stim2-14	n/a
138.88	0.0	left	0.313
144.493	0.606	stim1-28	n/a
154.131	0.619	stim2-79	n/a
154.782	0.0	left	0.132
160.44	0.626	stim1-7	n/a
168.099	0.632	stim2-10	n/a
168.763	0.0	right	0.293
168.763	0.0	error	0.293
174.39600000000002	0.619	stim1-5	n/a
183.048	0.631	stim2-7	n/a
183.712	0.0	left	0.541
189.331	0.606	stim1-20	n/a
198.47	0.601	stim2-10	n/a
199.103	0.0	right	0.398
204.773	0.605	stim1-14	n/a
212.41	0.632	stim2-40	n/a
213.075	0.0	left	0.268
218.74	0.604	stim1-20	n/a
225.376	0.6	stim2-7	n/a
226.009	0.0	right	0.45
231.693	0.606	stim1-10	n/a
240.832	0.623	stim2-11	n/a
241.487	0.0	left	0.291
247.156	0.606	stim1-20	n/a
256.795	0.632	stim2-21	n/a
257.46	0.0	left	0.25
263.106	0.617	stim1-5	n/a
271.755	0.629	stim2-6	n/a
272.416	0.0	error	0.534
272.416	0.0	right	0.534
278.04999999999995	0.605	stim1-14	n/a
286.18699999999995	0.612	stim2-7	n/a
286.832	0.0	right	0.226
292.523	0.605	stim1-7	n/a
299.66	0.623	stim2-5	n/a
300.315	0.0	right	0.4
305.98	0.604	stim1-28	n/a
315.616	0.603	stim2-40	n/a
316.25199999999995	0.0	left	0.335
321.91799999999995	0.61	stim1-28	n/a
329.061	0.632	stim2-10	n/a
329.725	0.0	right	0.242
335.36999999999995	0.607	stim1-14	n/a
343.51	0.632	stim2-10	n/a
344.17499999999995	0.0	error	0.545
344.17499999999995	0.0	left	0.545
349.822	0.603	stim1-28	n/a
358.458	0.632	stim2-29	n/a
359.122	0.0	left	0.595
364.768	0.605	stim1-10	n/a
372.405	0.631	stim2-28	n/a
373.068	0.0	left	0.261
378.72	0.603	stim1-10	n/a
385.356	0.619	stim2-4	n/a
386.008	0.0	right	0.316
391.669	0.604	stim1-14	n/a
400.805	0.6	stim2-20	n/a
401.438	0.0	left	0.263
407.107	0.629	stim1-7	n/a
416.768	0.601	stim2-10	n/a
417.401	0.0	left	0.634
423.042	0.626	stim1-7	n/a
430.2	0.625	stim2-5	n/a
430.857	0.0	right	0.106
436.498	0.604	stim1-10	n/a
445.634	0.621	stim2-4	n/a
446.287	0.0	right	0.358
451.945	0.605	stim1-20	n/a
460.582	0.609	stim2-57	n/a
461.224	0.0	left	0.263
466.893	0.601	stim1-7	n/a
475.026	0.617	stim2-2	n/a
475.676	0.0	right	0.475
481.332	0.607	stim1-20	n/a
488.971	0.631	stim2-28	n/a
489.634	0.0	left	0.686
495.262	0.62	stim1-5	n/a
501.915	0.615	stim2-2	n/a
502.562	0.0	right	0.462
508.2	0.608	stim1-28	n/a
516.341	0.615	stim2-56	n/a
516.989	0.0	left	0.636
