onset	duration	trial_type	response_time
2.544000000000004	0.604	stim1-5	n/a
10.681000000000004	0.602	stim2-10	n/a
11.315000000000005	0.0	left	0.98
16.994999999999997	0.605	stim1-20	n/a
26.132	0.602	stim2-28	n/a
26.768000000000008	0.0	left	0.48
32.458000000000006	0.605	stim1-7	n/a
39.595000000000006	0.63	stim2-5	n/a
40.257	0.0	error	1.702
40.257	0.0	left	1.702
45.909	0.605	stim1-20	n/a
55.546	0.601	stim2-57	n/a
56.179	0.0	left	0.382
61.857000000000006	0.602	stim1-28	n/a
69.49199999999999	0.619	stim2-56	n/a
70.143	0.0	left	0.412
75.803	0.624	stim1-14	n/a
82.45999999999998	0.633	stim2-20	n/a
83.125	0.0	left	0.675
88.74699999999999	0.606	stim1-20	n/a
97.386	0.634	stim2-14	n/a
98.053	0.0	right	0.389
103.69899999999998	0.604	stim1-14	n/a
110.33599999999998	0.601	stim2-13	n/a
110.97	0.0	error	0.812
110.97	0.0	left	0.812
116.666	0.606	stim1-14	n/a
124.804	0.6	stim2-28	n/a
125.436	0.0	left	0.407
131.10399999999998	0.631	stim1-5	n/a
140.267	0.6	stim2-10	n/a
140.9	0.0	left	0.664
146.572	0.603	stim1-28	n/a
153.708	0.602	stim2-20	n/a
154.344	0.0	right	1.172
160.03799999999998	0.602	stim1-10	n/a
167.673	0.6	stim2-20	n/a
168.30599999999998	0.0	left	0.489
174.001	0.601	stim1-5	n/a
182.635	0.631	stim2-10	n/a
183.299	0.0	left	0.479
188.955	0.608	stim1-28	n/a
198.596	0.625	stim2-79	n/a
199.253	0.0	left	0.459
204.914	0.606	stim1-20	n/a
212.553	0.631	stim2-19	n/a
213.218	0.0	right	0.468
218.868	0.602	stim1-10	n/a
227.503	0.6	stim2-28	n/a
228.135	0.0	left	0.531
233.819	0.605	stim1-10	n/a
241.956	0.601	stim2-20	n/a
242.591	0.0	left	0.369
248.245	0.619	stim1-10	n/a
254.896	0.602	stim2-28	n/a
255.531	0.0	left	0.291
261.198	0.603	stim1-7	n/a
270.833	0.631	stim2-5	n/a
271.496	0.0	right	0.33
277.128	0.603	stim1-7	n/a
286.263	0.631	stim2-14	n/a
286.926	0.0	left	0.696
292.571	0.606	stim1-14	n/a
299.71	0.603	stim2-28	n/a
300.347	0.0	left	0.736
306.026	0.603	stim1-7	n/a
313.662	0.631	stim2-5	n/a
314.325	0.0	right	0.27
319.962	0.604	stim1-10	n/a
326.599	0.602	stim2-20	n/a
327.234	0.0	left	0.57
332.92	0.604	stim1-28	n/a
340.056	0.633	stim2-27	n/a
340.723	0.0	error	0.477
340.723	0.0	left	0.477
346.362	0.606	stim1-10	n/a
354.5	0.632	stim2-14	n/a
355.166	0.0	right	0.564
355.166	0.0	error	0.564
360.805	0.605	stim1-7	n/a
369.942	0.631	stim2-5	n/a
370.606	0.0	right	2.357
376.257	0.63	stim1-7	n/a
385.92	0.602	stim2-14	n/a
386.555	0.0	left	0.41
392.2	0.63	stim1-5	n/a
400.863	0.622	stim2-3	n/a
401.517	0.0	right	0.272
407.161	0.603	stim1-14	n/a
415.796	0.603	stim2-40	n/a
416.433	0.0	left	0.468
422.102	0.604	stim1-28	n/a
431.738	0.608	stim2-40	n/a
432.379	0.0	left	0.59
438.039	0.604	stim1-20	n/a
446.175	0.602	stim2-19	n/a
446.809	0.0	right	0.493
452.503	0.604	stim1-14	n/a
459.139	0.631	stim2-20	n/a
459.803	0.0	left	0.665
465.444	0.605	stim1-20	n/a
472.582	0.632	stim2-19	n/a
473.247	0.0	error	0.294
473.247	0.0	left	0.294
478.907	0.617	stim1-5	n/a
486.556	0.632	stim2-7	n/a
487.22	0.0	left	0.563
492.854	0.631	stim1-5	n/a
502.017	0.616	stim2-2	n/a
502.665	0.0	right	0.285
508.316	0.606	stim1-28	n/a
516.454	0.601	stim2-14	n/a
517.087	0.0	right	0.654
