onset	duration	trial_type	response_time
2.5430000000000064	0.613	stim1-20	n/a
12.188000000000002	0.632	stim2-28	n/a
12.854	0.0	error	0.793
12.854	0.0	right	0.793
18.47500000000001	0.605	stim1-14	n/a
25.11200000000001	0.612	stim2-5	n/a
25.757000000000005	0.0	right	0.465
31.430000000000007	0.606	stim1-20	n/a
40.069	0.6	stim2-10	n/a
40.70100000000001	0.0	right	0.463
46.36500000000001	0.603	stim1-20	n/a
54.001000000000005	0.605	stim2-40	n/a
54.639	0.0	left	0.479
60.325	0.625	stim1-5	n/a
67.483	0.6	stim2-10	n/a
68.116	0.0	left	0.465
73.785	0.605	stim1-28	n/a
81.92300000000002	0.62	stim2-56	n/a
82.57600000000001	0.0	left	0.234
88.24900000000001	0.63	stim1-7	n/a
97.41100000000002	0.619	stim2-2	n/a
98.063	0.0	right	0.357
103.698	0.629	stim1-7	n/a
113.359	0.614	stim2-4	n/a
114.006	0.0	right	0.478
119.65500000000002	0.606	stim1-14	n/a
128.793	0.602	stim2-15	n/a
129.42900000000003	0.0	error	0.682
129.42900000000003	0.0	right	0.682
135.087	0.622	stim1-5	n/a
142.241	0.622	stim2-4	n/a
142.89600000000002	0.0	right	0.81
148.52300000000002	0.601	stim1-10	n/a
157.15699999999998	0.625	stim2-7	n/a
157.815	0.0	right	0.454
163.469	0.631	stim1-5	n/a
170.13299999999998	0.629	stim2-10	n/a
170.79500000000002	0.0	left	0.26
176.42000000000002	0.603	stim1-14	n/a
184.056	0.601	stim2-20	n/a
184.689	0.0	left	0.301
190.36	0.607	stim1-20	n/a
198.5	0.604	stim2-28	n/a
199.137	0.0	left	0.375
204.808	0.625	stim1-14	n/a
211.466	0.631	stim2-20	n/a
212.129	0.0	left	0.308
217.774	0.625	stim1-5	n/a
224.932	0.621	stim2-3	n/a
225.586	0.0	right	0.341
231.234	0.608	stim1-28	n/a
240.375	0.618	stim2-79	n/a
241.025	0.0	left	0.272
246.668	0.606	stim1-20	n/a
255.306	0.626	stim2-7	n/a
255.964	0.0	right	0.334
261.633	0.604	stim1-28	n/a
269.771	0.602	stim2-20	n/a
270.405	0.0	right	0.451
276.093	0.601	stim1-28	n/a
285.727	0.625	stim2-79	n/a
286.385	0.0	left	0.376
292.04	0.608	stim1-10	n/a
299.68	0.602	stim2-20	n/a
300.315	0.0	left	0.43
305.981	0.623	stim1-10	n/a
313.136	0.624	stim2-5	n/a
313.793	0.0	right	0.294
319.422	0.608	stim1-28	n/a
329.063	0.617	stim2-56	n/a
329.713	0.0	left	0.27
335.385	0.618	stim1-10	n/a
344.035	0.62	stim2-11	n/a
344.687	0.0	left	0.793
350.326	0.63	stim1-5	n/a
358.489	0.62	stim2-6	n/a
359.141	0.0	left	0.868
364.741	0.601	stim1-7	n/a
371.374	0.633	stim2-10	n/a
372.039	0.0	left	0.592
377.705	0.62	stim1-5	n/a
386.858	0.621	stim2-6	n/a
387.511	0.0	left	0.659
393.154	0.618	stim1-14	n/a
400.804	0.6	stim2-10	n/a
401.436	0.0	right	0.88
407.098	0.605	stim1-28	n/a
416.236	0.605	stim2-40	n/a
416.873	0.0	left	0.203
422.542	0.631	stim1-7	n/a
432.205	0.622	stim2-4	n/a
432.859	0.0	right	0.738
438.488	0.621	stim1-10	n/a
446.141	0.625	stim2-4	n/a
446.798	0.0	right	0.161
452.424	0.619	stim1-14	n/a
461.076	0.632	stim2-40	n/a
461.739	0.0	left	0.541
467.355	0.601	stim1-7	n/a
474.489	0.616	stim2-2	n/a
475.137	0.0	right	0.414
480.793	0.616	stim1-20	n/a
488.941	0.619	stim2-57	n/a
489.593	0.0	left	0.273
495.231	0.629	stim1-7	n/a
501.892	0.628	stim2-8	n/a
502.553	0.0	left	0.803
508.197	0.626	stim1-10	n/a
516.356	0.614	stim2-5	n/a
517.0020000000001	0.0	right	0.457
