onset	duration	trial_type	response_time
2.5379999999999967	0.62	stim1-7	n/a
9.691000000000004	0.602	stim2-14	n/a
10.326	0.0	left	0.512
15.991	0.6	stim1-28	n/a
22.623	0.604	stim2-40	n/a
23.26	0.0	left	1.373
28.93	0.601	stim1-7	n/a
36.563	0.62	stim2-4	n/a
37.216	0.0	right	0.314
42.864	0.604	stim1-10	n/a
52.501	0.631	stim2-7	n/a
53.165	0.0	right	1.075
58.831	0.606	stim1-5	n/a
67.47	0.6	stim2-14	n/a
68.10300000000001	0.0	left	0.467
73.77000000000001	0.605	stim1-10	n/a
82.90700000000001	0.625	stim2-5	n/a
83.565	0.0	right	0.857
89.23500000000001	0.602	stim1-14	n/a
97.37	0.6	stim2-15	n/a
98.002	0.0	left	0.613
103.689	0.605	stim1-10	n/a
112.327	0.6	stim2-14	n/a
112.959	0.0	left	0.405
118.626	0.603	stim1-28	n/a
126.261	0.604	stim2-40	n/a
126.898	0.0	left	0.522
132.604	0.606	stim1-20	n/a
139.244	0.6	stim2-7	n/a
139.877	0.0	right	0.701
145.546	0.604	stim1-28	n/a
155.183	0.616	stim2-79	n/a
155.832	0.0	left	0.337
161.5	0.605	stim1-10	n/a
170.638	0.633	stim2-20	n/a
171.303	0.0	left	1.361
176.964	0.631	stim1-5	n/a
185.127	0.601	stim2-14	n/a
185.76	0.0	left	0.771
191.401	0.629	stim1-5	n/a
198.562	0.633	stim2-10	n/a
199.227	0.0	right	0.408
199.227	0.0	error	0.408
204.847	0.631	stim1-5	n/a
211.511	0.632	stim2-14	n/a
212.176	0.0	right	0.391
212.176	0.0	error	0.391
217.79800000000003	0.602	stim1-7	n/a
226.934	0.617	stim2-2	n/a
227.58400000000003	0.0	right	0.868
233.247	0.609	stim1-20	n/a
240.888	0.6	stim2-28	n/a
241.52	0.0	left	0.524
247.179	0.606	stim1-20	n/a
256.818	0.633	stim2-7	n/a
257.483	0.0	right	0.974
263.11499999999995	0.604	stim1-14	n/a
271.751	0.634	stim2-28	n/a
272.417	0.0	left	0.743
278.072	0.606	stim1-14	n/a
285.211	0.632	stim2-10	n/a
285.876	0.0	right	0.533
291.505	0.631	stim1-5	n/a
299.66799999999995	0.619	stim2-3	n/a
300.319	0.0	right	0.392
305.945	0.605	stim1-7	n/a
314.083	0.621	stim2-4	n/a
314.736	0.0	right	1.236
320.397	0.604	stim1-14	n/a
327.534	0.632	stim2-28	n/a
328.199	0.0	left	0.64
333.845	0.605	stim1-14	n/a
342.483	0.603	stim2-15	n/a
343.118	0.0	left	1.229
348.803	0.626	stim1-14	n/a
356.461	0.632	stim2-20	n/a
357.126	0.0	left	0.552
362.753	0.623	stim1-10	n/a
369.408	0.632	stim2-7	n/a
370.073	0.0	right	0.413
375.703	0.605	stim1-20	n/a
385.34	0.632	stim2-10	n/a
386.005	0.0	right	1.614
391.658	0.607	stim1-28	n/a
400.797	0.603	stim2-14	n/a
401.433	0.0	right	1.738
407.103	0.604	stim1-28	n/a
414.239	0.616	stim2-79	n/a
414.888	0.0	left	0.254
420.549	0.601	stim1-5	n/a
428.682	0.602	stim2-14	n/a
429.317	0.0	left	0.893
434.987	0.619	stim1-10	n/a
442.638	0.6	stim2-11	n/a
443.27	0.0	right	1.201
443.27	0.0	error	1.201
448.928	0.605	stim1-7	n/a
458.065	0.613	stim2-4	n/a
458.711	0.0	right	1.698
464.382	0.606	stim1-28	n/a
471.02	0.632	stim2-10	n/a
471.685	0.0	right	0.356
477.329	0.607	stim1-20	n/a
485.968	0.603	stim2-40	n/a
486.603	0.0	left	0.174
492.277	0.608	stim1-20	n/a
501.917	0.6	stim2-14	n/a
502.5489999999999	0.0	right	0.549
508.201	0.626	stim1-7	n/a
516.36	0.617	stim2-2	n/a
517.01	0.0	right	0.819
