onset	duration	trial_type	response_time
2.5360000000000014	0.616	stim1-7	n/a
11.186	0.601	stim2-20	n/a
11.82	0.0	left	0.493
17.491000000000003	0.619	stim1-7	n/a
27.142	0.631	stim2-14	n/a
27.805000000000003	0.0	left	0.684
33.44	0.602	stim1-14	n/a
41.074	0.615	stim2-7	n/a
41.722	0.0	right	0.426
47.397000000000006	0.603	stim1-10	n/a
54.533	0.625	stim2-5	n/a
55.19	0.0	right	0.485
60.835	0.601	stim1-7	n/a
69.96799999999999	0.626	stim2-10	n/a
70.62599999999999	0.0	left	0.583
76.283	0.605	stim1-28	n/a
84.42	0.603	stim2-40	n/a
85.057	0.0	left	0.369
90.721	0.63	stim1-20	n/a
97.383	0.601	stim2-21	n/a
98.017	0.0	left	0.493
103.682	0.603	stim1-10	n/a
110.817	0.618	stim2-5	n/a
111.467	0.0	right	0.596
117.133	0.605	stim1-20	n/a
123.771	0.601	stim2-40	n/a
124.406	0.0	left	0.554
130.10399999999998	0.605	stim1-14	n/a
138.242	0.604	stim2-15	n/a
138.878	0.0	left	0.639
144.564	0.602	stim1-10	n/a
153.698	0.614	stim2-4	n/a
154.344	0.0	right	0.45
160.008	0.606	stim1-20	n/a
168.646	0.618	stim2-57	n/a
169.298	0.0	left	0.417
174.95	0.627	stim1-5	n/a
184.609	0.619	stim2-7	n/a
185.26	0.0	left	0.477
190.907	0.608	stim1-20	n/a
198.547	0.631	stim2-14	n/a
199.212	0.0	left	0.911
199.212	0.0	error	0.911
204.875	0.606	stim1-20	n/a
213.014	0.621	stim2-7	n/a
213.668	0.0	right	0.347
219.316	0.604	stim1-5	n/a
226.953	0.6	stim2-14	n/a
227.585	0.0	left	0.591
233.259	0.605	stim1-28	n/a
242.397	0.602	stim2-20	n/a
243.032	0.0	right	0.69
248.698	0.604	stim1-10	n/a
257.335	0.625	stim2-5	n/a
257.993	0.0	right	0.457
263.658	0.63	stim1-5	n/a
273.321	0.631	stim2-10	n/a
273.985	0.0	left	0.498
279.599	0.603	stim1-14	n/a
286.235	0.63	stim2-5	n/a
286.897	0.0	right	0.365
292.537	0.6	stim1-7	n/a
299.669	0.615	stim2-4	n/a
300.316	0.0	right	0.498
305.985	0.605	stim1-20	n/a
312.624	0.6	stim2-21	n/a
313.257	0.0	left	0.456
318.943	0.603	stim1-28	n/a
326.578	0.631	stim2-10	n/a
327.242	0.0	right	0.572
332.893	0.602	stim1-28	n/a
342.527	0.6	stim2-10	n/a
343.159	0.0	right	0.59
348.855	0.62	stim1-5	n/a
356.007	0.621	stim2-14	n/a
356.66	0.0	left	0.648
362.323	0.607	stim1-28	n/a
371.463	0.631	stim2-14	n/a
372.126	0.0	right	0.569
377.771	0.617	stim1-5	n/a
386.42	0.615	stim2-4	n/a
387.068	0.0	right	0.417
392.717	0.603	stim1-14	n/a
400.852	0.604	stim2-40	n/a
401.49	0.0	left	0.446
407.172	0.606	stim1-14	n/a
416.81	0.633	stim2-28	n/a
417.477	0.0	left	0.447
423.137	0.602	stim1-10	n/a
430.272	0.632	stim2-11	n/a
430.936	0.0	right	0.68
430.936	0.0	error	0.68
436.572	0.629	stim1-5	n/a
445.733	0.621	stim2-3	n/a
446.386	0.0	right	0.404
452.027	0.603	stim1-7	n/a
460.162	0.633	stim2-20	n/a
460.827	0.0	left	0.488
466.492	0.603	stim1-28	n/a
473.129	0.62	stim2-14	n/a
473.781	0.0	right	0.325
479.446	0.605	stim1-7	n/a
488.085	0.632	stim2-8	n/a
488.749	0.0	left	0.599
494.384	0.601	stim1-14	n/a
502.018	0.618	stim2-5	n/a
502.669	0.0	right	0.422
508.327	0.601	stim1-10	n/a
517.461	0.631	stim2-28	n/a
518.126	0.0	left	0.453
